Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
6/1/2018,0:00,-0.41,-,-0.354
6/1/2018,1:00,-0.608,-,-0.55
6/1/2018,2:00,-0.714,-,-0.657
6/1/2018,3:00,-0.691,-,-0.589
6/1/2018,4:00,-0.55,-,-0.43
6/1/2018,5:00,-0.337,-,-0.233
6/1/2018,6:00,-0.095,-,0.001
6/1/2018,7:00,0.122,-,0.202
6/1/2018,8:00,0.261,-,0.337
6/1/2018,9:00,0.3,-,0.363
6/1/2018,10:00,0.251,-,0.277
6/1/2018,11:00,0.141,-,0.14
6/1/2018,12:00,0.007,-,0.004
6/1/2018,13:00,-0.114,-,-0.072
6/1/2018,14:00,-0.177,-,-0.129
6/1/2018,15:00,-0.14,-,-0.055
6/1/2018,16:00,-0.004,-,0.093
6/1/2018,17:00,0.18,-,0.294
6/1/2018,18:00,0.355,-,0.512
6/1/2018,19:00,0.473,-,0.646
6/1/2018,20:00,0.49,-,0.614
6/1/2018,21:00,0.395,-,0.472
6/1/2018,22:00,0.21,-,0.27
6/1/2018,23:00,-0.027,-,0.033
6/2/2018,0:00,-0.272,-,-0.2
6/2/2018,1:00,-0.487,-,-0.422
6/2/2018,2:00,-0.64,-,-0.583
6/2/2018,3:00,-0.69,-,-0.624
6/2/2018,4:00,-0.616,-,-0.508
6/2/2018,5:00,-0.444,-,-0.343
6/2/2018,6:00,-0.225,-,-0.125
6/2/2018,7:00,-0.002,-,0.104
6/2/2018,8:00,0.178,-,0.275
6/2/2018,9:00,0.276,-,0.355
6/2/2018,10:00,0.281,-,0.334
6/2/2018,11:00,0.208,-,0.256
6/2/2018,12:00,0.087,-,0.12
6/2/2018,13:00,-0.041,-,0
6/2/2018,14:00,-0.138,-,-0.098
6/2/2018,15:00,-0.167,-,-0.097
6/2/2018,16:00,-0.097,-,-0.007
6/2/2018,17:00,0.058,-,0.145
6/2/2018,18:00,0.238,-,0.372
6/2/2018,19:00,0.386,-,0.543
6/2/2018,20:00,0.463,-,0.622
6/2/2018,21:00,0.44,-,0.586
6/2/2018,22:00,0.315,-,0.432
6/2/2018,23:00,0.113,-,0.216
6/3/2018,0:00,-0.125,-,-0.007
6/3/2018,1:00,-0.352,-,-0.234
6/3/2018,2:00,-0.532,-,-0.4
6/3/2018,3:00,-0.638,-,-0.51
6/3/2018,4:00,-0.639,-,-0.549
6/3/2018,5:00,-0.525,-,-0.434
6/3/2018,6:00,-0.334,-,-0.228
6/3/2018,7:00,-0.122,-,0
6/3/2018,8:00,0.073,-,0.199
6/3/2018,9:00,0.217,-,0.318
6/3/2018,10:00,0.28,-,0.387
6/3/2018,11:00,0.256,-,0.354
6/3/2018,12:00,0.162,-,0.249
6/3/2018,13:00,0.037,-,0.122
6/3/2018,14:00,-0.078,-,0.016
6/3/2018,15:00,-0.153,-,-0.048
6/3/2018,16:00,-0.154,-,-0.012
6/3/2018,17:00,-0.06,-,0.095
6/3/2018,18:00,0.103,-,0.247
6/3/2018,19:00,0.267,-,0.421
6/3/2018,20:00,0.385,-,0.533
6/3/2018,21:00,0.429,-,0.569
6/3/2018,22:00,0.379,-,0.51
6/3/2018,23:00,0.236,-,0.371
6/4/2018,0:00,0.029,-,0.173
6/4/2018,1:00,-0.198,-,-0.067
6/4/2018,2:00,-0.397,-,-0.25
6/4/2018,3:00,-0.542,-,-0.396
6/4/2018,4:00,-0.608,-,-0.448
6/4/2018,5:00,-0.568,-,-0.405
6/4/2018,6:00,-0.426,-,-0.267
6/4/2018,7:00,-0.233,-,-0.087
6/4/2018,8:00,-0.038,-,0.09
6/4/2018,9:00,0.131,-,0.234
6/4/2018,10:00,0.245,-,0.329
6/4/2018,11:00,0.276,-,0.355
6/4/2018,12:00,0.227,-,0.285
6/4/2018,13:00,0.121,-,0.172
6/4/2018,14:00,-0.001,-,0.043
6/4/2018,15:00,-0.105,-,-0.05
6/4/2018,16:00,-0.164,-,-0.09
6/4/2018,17:00,-0.146,-,-0.047
6/4/2018,18:00,-0.038,-,0.044
6/4/2018,19:00,0.117,-,0.214
6/4/2018,20:00,0.259,-,0.355
6/4/2018,21:00,0.354,-,0.462
6/4/2018,22:00,0.38,-,0.477
6/4/2018,23:00,0.316,-,0.388
6/5/2018,0:00,0.168,-,0.232
6/5/2018,1:00,-0.031,-,0.055
6/5/2018,2:00,-0.235,-,-0.138
6/5/2018,3:00,-0.407,-,-0.312
6/5/2018,4:00,-0.521,-,-0.412
6/5/2018,5:00,-0.556,-,-0.425
6/5/2018,6:00,-0.487,-,-0.359
6/5/2018,7:00,-0.334,-,-0.235
6/5/2018,8:00,-0.15,-,-0.078
6/5/2018,9:00,0.028,-,0.093
6/5/2018,10:00,0.177,-,0.216
6/5/2018,11:00,0.265,-,0.299
6/5/2018,12:00,0.271,-,0.295
6/5/2018,13:00,0.205,-,0.227
6/5/2018,14:00,0.094,-,0.13
6/5/2018,15:00,-0.027,-,0.025
6/5/2018,16:00,-0.126,-,-0.058
6/5/2018,17:00,-0.178,-,-0.109
6/5/2018,18:00,-0.152,-,-0.065
6/5/2018,19:00,-0.047,-,0.028
6/5/2018,20:00,0.093,-,0.141
6/5/2018,21:00,0.219,-,0.271
6/5/2018,22:00,0.304,-,0.374
6/5/2018,23:00,0.324,-,0.391
6/6/2018,0:00,0.26,-,0.318
6/6/2018,1:00,0.123,-,0.17
6/6/2018,2:00,-0.056,-,0.018
6/6/2018,3:00,-0.237,-,-0.148
6/6/2018,4:00,-0.386,-,-0.292
6/6/2018,5:00,-0.479,-,-0.375
6/6/2018,6:00,-0.492,-,-0.391
6/6/2018,7:00,-0.411,-,-0.297
6/6/2018,8:00,-0.259,-,-0.142
6/6/2018,9:00,-0.084,-,0.025
6/6/2018,10:00,0.083,-,0.208
6/6/2018,11:00,0.216,-,0.33
6/6/2018,12:00,0.285,-,0.427
6/6/2018,13:00,0.275,-,0.408
6/6/2018,14:00,0.198,-,0.373
6/6/2018,15:00,0.079,-,0.347
6/6/2018,16:00,-0.048,-,0.062
