Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
6/15/2019,0:00,-0.672,-,-0.525
6/15/2019,1:00,-0.516,-,-0.379
6/15/2019,2:00,-0.277,-,-0.15
6/15/2019,3:00,-0.017,-,0.079
6/15/2019,4:00,0.192,-,0.257
6/15/2019,5:00,0.306,-,0.37
6/15/2019,6:00,0.317,-,0.398
6/15/2019,7:00,0.242,-,0.334
6/15/2019,8:00,0.11,-,0.192
6/15/2019,9:00,-0.045,-,0.054
6/15/2019,10:00,-0.172,-,-0.044
6/15/2019,11:00,-0.214,-,-0.115
6/15/2019,12:00,-0.147,-,-0.036
6/15/2019,13:00,0.007,-,0.117
6/15/2019,14:00,0.213,-,0.316
6/15/2019,15:00,0.417,-,0.525
6/15/2019,16:00,0.552,-,0.665
6/15/2019,17:00,0.573,-,0.677
6/15/2019,18:00,0.476,-,0.556
6/15/2019,19:00,0.283,-,0.324
6/15/2019,20:00,0.027,-,0.065
6/15/2019,21:00,-0.255,-,-0.204
6/15/2019,22:00,-0.523,-,-0.447
6/15/2019,23:00,-0.714,-,-0.636
6/16/2019,0:00,-0.777,-,-0.688
6/16/2019,1:00,-0.704,-,-0.52
6/16/2019,2:00,-0.515,-,-0.34
6/16/2019,3:00,-0.252,-,-0.093
6/16/2019,4:00,0.016,-,0.175
6/16/2019,5:00,0.218,-,0.369
6/16/2019,6:00,0.319,-,0.519
6/16/2019,7:00,0.315,-,0.412
6/16/2019,8:00,0.228,-,0.257
6/16/2019,9:00,0.093,-,0.162
6/16/2019,10:00,-0.054,-,0.045
6/16/2019,11:00,-0.163,-,-0.061
6/16/2019,12:00,-0.179,-,-0.049
6/16/2019,13:00,-0.083,-,0.072
6/16/2019,14:00,0.094,-,0.234
6/16/2019,15:00,0.305,-,0.459
6/16/2019,16:00,0.492,-,0.669
6/16/2019,17:00,0.591,-,0.76
6/16/2019,18:00,0.57,-,0.742
6/16/2019,19:00,0.431,-,0.573
6/16/2019,20:00,0.205,-,0.323
6/16/2019,21:00,-0.067,-,0.045
6/16/2019,22:00,-0.349,-,-0.204
6/16/2019,23:00,-0.603,-,-0.366
6/17/2019,0:00,-0.767,-,-0.621
6/17/2019,1:00,-0.792,-,-0.705
6/17/2019,2:00,-0.68,-,-0.498
6/17/2019,3:00,-0.463,-,-0.272
6/17/2019,4:00,-0.191,-,-0.002
6/17/2019,5:00,0.068,-,0.266
6/17/2019,6:00,0.249,-,0.465
6/17/2019,7:00,0.324,-,0.563
6/17/2019,8:00,0.296,-,0.559
6/17/2019,9:00,0.198,-,0.478
6/17/2019,10:00,0.063,-,0.307
6/17/2019,11:00,-0.073,-,0.174
6/17/2019,12:00,-0.16,-,0.043
6/17/2019,13:00,-0.142,-,0.044
6/17/2019,14:00,-0.015,-,0.175
6/17/2019,15:00,0.176,-,0.387
6/17/2019,16:00,0.38,-,0.615
6/17/2019,17:00,0.538,-,0.798
6/17/2019,18:00,0.595,-,0.84
6/17/2019,19:00,0.528,-,0.736
6/17/2019,20:00,0.352,-,0.543
6/17/2019,21:00,0.108,-,0.303
6/17/2019,22:00,-0.165,-,0.033
6/17/2019,23:00,-0.435,-,-0.241
6/18/2019,0:00,-0.662,-,-0.455
6/18/2019,1:00,-0.783,-,-0.632
6/18/2019,2:00,-0.759,-,-0.572
6/18/2019,3:00,-0.61,-,-0.391
6/18/2019,4:00,-0.377,-,-0.139
6/18/2019,5:00,-0.108,-,0.097
6/18/2019,6:00,0.129,-,0.34
6/18/2019,7:00,0.276,-,0.512
6/18/2019,8:00,0.317,-,0.569
6/18/2019,9:00,0.267,-,0.509
6/18/2019,10:00,0.16,-,0.406
6/18/2019,11:00,0.026,-,0.25
6/18/2019,12:00,-0.098,-,0.113
6/18/2019,13:00,-0.155,-,0.081
6/18/2019,14:00,-0.1,-,0.095
6/18/2019,15:00,0.05,-,0.275
6/18/2019,16:00,0.244,-,0.483
6/18/2019,17:00,0.43,-,0.683
6/18/2019,18:00,0.554,-,0.805
6/18/2019,19:00,0.565,-,0.8
6/18/2019,20:00,0.456,-,0.667
6/18/2019,21:00,0.255,-,0.459
6/18/2019,22:00,0.005,-,0.207
6/18/2019,23:00,-0.259,-,-0.044
6/19/2019,0:00,-0.507,-,-0.278
6/19/2019,1:00,-0.694,-,-0.45
6/19/2019,2:00,-0.759,-,-0.486
6/19/2019,3:00,-0.688,-,-0.361
6/19/2019,4:00,-0.511,-,-0.163
6/19/2019,5:00,-0.27,-,0.014
6/19/2019,6:00,-0.015,-,0.305
6/19/2019,7:00,0.187,-,0.502
6/19/2019,8:00,0.294,-,0.616
6/19/2019,9:00,0.301,-,0.645
6/19/2019,10:00,0.231,-,0.604
6/19/2019,11:00,0.115,-,0.464
6/19/2019,12:00,-0.017,-,0.302
6/19/2019,13:00,-0.122,-,0.244
6/19/2019,14:00,-0.145,-,0.233
6/19/2019,15:00,-0.058,-,0.296
6/19/2019,16:00,0.107,-,0.505
6/19/2019,17:00,0.295,-,0.661
6/19/2019,18:00,0.458,-,0.797
6/19/2019,19:00,0.54,-,0.923
6/19/2019,20:00,0.508,-,0.983
6/19/2019,21:00,0.368,-,0.792
6/19/2019,22:00,0.154,-,0.582
6/19/2019,23:00,-0.095,-,0.305
6/20/2019,0:00,-0.343,-,0.076
6/20/2019,1:00,-0.559,-,-0.188
6/20/2019,2:00,-0.694,-,-0.371
6/20/2019,3:00,-0.703,-,-0.461
6/20/2019,4:00,-0.59,-,-0.327
6/20/2019,5:00,-0.393,-,-0.156
6/20/2019,6:00,-0.154,-,0.072
6/20/2019,7:00,0.074,-,0.316
6/20/2019,8:00,0.235,-,0.526
6/20/2019,9:00,0.302,-,0.663
6/20/2019,10:00,0.279,-,0.666
6/20/2019,11:00,0.189,-,0.591
6/20/2019,12:00,0.063,-,0.45
6/20/2019,13:00,-0.062,-,0.341
6/20/2019,14:00,-0.142,-,0.249
6/20/2019,15:00,-0.131,-,0.261
6/20/2019,16:00,-0.019,-,0.341
6/20/2019,17:00,0.152,-,0.489
6/20/2019,18:00,0.328,-,0.658
6/20/2019,19:00,0.46,-,0.772
6/20/2019,20:00,0.503,-,0.809
6/20/2019,21:00,0.437,-,0.729
6/20/2019,22:00,0.277,-,0.553
6/20/2019,23:00,0.056,-,0.341
6/21/2019,0:00,-0.185,-,0.096
6/21/2019,1:00,-0.409,-,-0.118
6/21/2019,2:00,-0.582,-,-0.298
6/21/2019,3:00,-0.664,-,-0.399
6/21/2019,4:00,-0.623,-,-0.344
6/21/2019,5:00,-0.476,-,-0.217
6/21/2019,6:00,-0.268,-,-0.034
6/21/2019,7:00,-0.044,-,0.166
6/21/2019,8:00,0.15,-,0.333
6/21/2019,9:00,0.271,-,0.442
6/21/2019,10:00,0.301,-,0.478
6/21/2019,11:00,0.248,-,0.427
6/21/2019,12:00,0.138,-,0.319
6/21/2019,13:00,0.009,-,0.201
6/21/2019,14:00,-0.102,-,0.106
6/21/2019,15:00,-0.157,-,0.062
6/21/2019,16:00,-0.118,-,0.095
6/21/2019,17:00,0.012,-,0.205
6/21/2019,18:00,0.183,-,0.358
6/21/2019,19:00,0.339,-,0.514
6/21/2019,20:00,0.439,-,0.614
6/21/2019,21:00,0.45,-,0.627
6/21/2019,22:00,0.361,-,0.538
6/21/2019,23:00,0.189,-,0.382
6/22/2019,0:00,-0.032,-,0.189
6/22/2019,1:00,-0.257,-,-0.018
6/22/2019,2:00,-0.448,-,-0.21
6/22/2019,3:00,-0.577,-,-0.351
6/22/2019,4:00,-0.609,-,-0.397
6/22/2019,5:00,-0.524,-,-0.326
6/22/2019,6:00,-0.353,-,-0.179
6/22/2019,7:00,-0.147,-,0.013
6/22/2019,8:00,0.053,-,0.207
6/22/2019,9:00,0.213,-,0.363
