Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
10/1/2018,0:00,0.285,-,0.319
10/1/2018,1:00,0.155,-,0.187
10/1/2018,2:00,0.008,-,0.022
10/1/2018,3:00,-0.112,-,-0.123
10/1/2018,4:00,-0.175,-,-0.177
10/1/2018,5:00,-0.15,-,-0.121
10/1/2018,6:00,-0.017,-,-0.003
10/1/2018,7:00,0.187,-,0.171
10/1/2018,8:00,0.388,-,0.341
10/1/2018,9:00,0.531,-,0.468
10/1/2018,10:00,0.585,-,0.518
10/1/2018,11:00,0.528,-,0.452
10/1/2018,12:00,0.368,-,0.296
10/1/2018,13:00,0.142,-,0.129
10/1/2018,14:00,-0.1,-,-0.067
10/1/2018,15:00,-0.315,-,-0.267
10/1/2018,16:00,-0.474,-,-0.438
10/1/2018,17:00,-0.553,-,-0.535
10/1/2018,18:00,-0.525,-,-0.491
10/1/2018,19:00,-0.392,-,-0.341
10/1/2018,20:00,-0.204,-,-0.162
10/1/2018,21:00,-0.011,-,0.044
10/1/2018,22:00,0.155,-,0.195
10/1/2018,23:00,0.263,-,0.268
10/2/2018,0:00,0.288,-,0.271
10/2/2018,1:00,0.237,-,0.232
10/2/2018,2:00,0.138,-,0.131
10/2/2018,3:00,0.026,-,0.028
10/2/2018,4:00,-0.065,-,-0.072
10/2/2018,5:00,-0.109,-,-0.081
10/2/2018,6:00,-0.076,-,-0.068
10/2/2018,7:00,0.047,-,0.06
10/2/2018,8:00,0.223,-,0.197
10/2/2018,9:00,0.39,-,0.368
10/2/2018,10:00,0.508,-,0.485
10/2/2018,11:00,0.546,-,0.528
10/2/2018,12:00,0.486,-,0.483
10/2/2018,13:00,0.338,-,0.367
10/2/2018,14:00,0.136,-,0.194
10/2/2018,15:00,-0.08,-,-0.002
10/2/2018,16:00,-0.276,-,-0.22
10/2/2018,17:00,-0.427,-,-0.413
10/2/2018,18:00,-0.511,-,-0.527
10/2/2018,19:00,-0.502,-,-0.525
10/2/2018,20:00,-0.401,-,-0.365
10/2/2018,21:00,-0.246,-,-0.224
10/2/2018,22:00,-0.075,-,-0.067
10/2/2018,23:00,0.085,-,0.13
10/3/2018,0:00,0.199,-,0.262
10/3/2018,1:00,0.245,-,0.342
10/3/2018,2:00,0.225,-,0.348
10/3/2018,3:00,0.157,-,0.284
10/3/2018,4:00,0.068,-,0.179
10/3/2018,5:00,-0.012,-,0.091
10/3/2018,6:00,-0.058,-,0.029
10/3/2018,7:00,-0.042,-,0.027
10/3/2018,8:00,0.052,-,0.101
10/3/2018,9:00,0.196,-,0.237
10/3/2018,10:00,0.341,-,0.393
10/3/2018,11:00,0.451,-,0.528
10/3/2018,12:00,0.498,-,0.582
10/3/2018,13:00,0.462,-,0.56
10/3/2018,14:00,0.347,-,0.451
10/3/2018,15:00,0.177,-,0.288
10/3/2018,16:00,-0.017,-,0.091
10/3/2018,17:00,-0.204,-,-0.127
10/3/2018,18:00,-0.364,-,-0.318
10/3/2018,19:00,-0.473,-,-0.431
10/3/2018,20:00,-0.499,-,-0.425
10/3/2018,21:00,-0.432,-,-0.337
