Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
8/1/2018,0:00,-0.036,-,0.092
8/1/2018,1:00,-0.267,-,-0.15
8/1/2018,2:00,-0.447,-,-0.331
8/1/2018,3:00,-0.541,-,-0.356
8/1/2018,4:00,-0.512,-,-0.307
8/1/2018,5:00,-0.356,-,-0.129
8/1/2018,6:00,-0.128,-,0.102
8/1/2018,7:00,0.104,-,0.326
8/1/2018,8:00,0.294,-,0.477
8/1/2018,9:00,0.403,-,0.563
8/1/2018,10:00,0.411,-,0.499
8/1/2018,11:00,0.322,-,0.404
8/1/2018,12:00,0.164,-,0.281
8/1/2018,13:00,-0.017,-,0.105
8/1/2018,14:00,-0.175,-,0.005
8/1/2018,15:00,-0.275,-,-0.028
8/1/2018,16:00,-0.28,-,0.084
8/1/2018,17:00,-0.169,-,0.222
8/1/2018,18:00,0.023,-,0.428
8/1/2018,19:00,0.225,-,0.607
8/1/2018,20:00,0.383,-,0.662
8/1/2018,21:00,0.464,-,0.655
8/1/2018,22:00,0.442,-,0.539
8/1/2018,23:00,0.315,-,0.37
8/2/2018,0:00,0.113,-,0.157
8/2/2018,1:00,-0.116,-,-0.015
8/2/2018,2:00,-0.319,-,-0.208
8/2/2018,3:00,-0.458,-,-0.303
8/2/2018,4:00,-0.499,-,-0.26
8/2/2018,5:00,-0.414,-,-0.123
8/2/2018,6:00,-0.218,-,0.072
8/2/2018,7:00,0.02,-,0.305
8/2/2018,8:00,0.235,-,0.465
8/2/2018,9:00,0.389,-,0.572
8/2/2018,10:00,0.452,-,0.608
8/2/2018,11:00,0.408,-,0.492
8/2/2018,12:00,0.273,-,0.359
8/2/2018,13:00,0.089,-,0.205
8/2/2018,14:00,-0.097,-,0.022
8/2/2018,15:00,-0.244,-,-0.114
8/2/2018,16:00,-0.322,-,-0.14
8/2/2018,17:00,-0.298,-,-0.045
8/2/2018,18:00,-0.164,-,0.109
8/2/2018,19:00,0.031,-,0.339
8/2/2018,20:00,0.218,-,0.552
8/2/2018,21:00,0.357,-,0.665
8/2/2018,22:00,0.418,-,0.753
8/2/2018,23:00,0.378,-,0.506
8/3/2018,0:00,0.242,-,0.352
8/3/2018,1:00,0.046,-,0.173
8/3/2018,2:00,-0.16,-,-0.044
8/3/2018,3:00,-0.328,-,-0.186
8/3/2018,4:00,-0.425,-,-0.237
8/3/2018,5:00,-0.42,-,-0.139
8/3/2018,6:00,-0.294,-,-0.003
8/3/2018,7:00,-0.08,-,0.169
8/3/2018,8:00,0.149,-,0.411
8/3/2018,9:00,0.339,-,0.536
8/3/2018,10:00,0.457,-,0.674
8/3/2018,11:00,0.475,-,0.64
8/3/2018,12:00,0.388,-,0.506
8/3/2018,13:00,0.223,-,0.361
8/3/2018,14:00,0.026,-,0.18
8/3/2018,15:00,-0.159,-,0.002
8/3/2018,16:00,-0.297,-,-0.136
8/3/2018,17:00,-0.359,-,-0.199
8/3/2018,18:00,-0.319,-,-0.076
8/3/2018,19:00,-0.181,-,0.078
8/3/2018,20:00,0.002,-,0.249
8/3/2018,21:00,0.174,-,0.421
8/3/2018,22:00,0.301,-,0.513
8/3/2018,23:00,0.354,-,0.517
8/4/2018,0:00,0.311,-,0.458
8/4/2018,1:00,0.186,-,0.304
8/4/2018,2:00,0.014,-,0.105
8/4/2018,3:00,-0.159,-,-0.043
8/4/2018,4:00,-0.293,-,-0.201
8/4/2018,5:00,-0.354,-,-0.22
8/4/2018,6:00,-0.318,-,-0.134
8/4/2018,7:00,-0.174,-,0.019
8/4/2018,8:00,0.037,-,0.219
8/4/2018,9:00,0.248,-,0.421
8/4/2018,10:00,0.412,-,0.564
8/4/2018,11:00,0.498,-,0.6
8/4/2018,12:00,0.482,-,0.565
8/4/2018,13:00,0.368,-,0.451
8/4/2018,14:00,0.189,-,0.302
8/4/2018,15:00,-0.015,-,0.109
8/4/2018,16:00,-0.2,-,-0.082
8/4/2018,17:00,-0.335,-,-0.249
8/4/2018,18:00,-0.395,-,-0.297
8/4/2018,19:00,-0.358,-,-0.229
8/4/2018,20:00,-0.232,-,-0.079
8/4/2018,21:00,-0.064,-,0.106
8/4/2018,22:00,0.099,-,0.295
8/4/2018,23:00,0.225,-,0.452
8/5/2018,0:00,0.284,-,0.477
8/5/2018,1:00,0.26,-,0.438
8/5/2018,2:00,0.163,-,0.359
8/5/2018,3:00,0.024,-,0.209
8/5/2018,4:00,-0.118,-,0.064
8/5/2018,5:00,-0.223,-,-0.018
8/5/2018,6:00,-0.263,-,-0.088
8/5/2018,7:00,-0.216,-,-0.005
8/5/2018,8:00,-0.074,-,0.111
8/5/2018,9:00,0.123,-,0.266
8/5/2018,10:00,0.315,-,0.418
8/5/2018,11:00,0.458,-,0.545
8/5/2018,12:00,0.523,-,0.591
8/5/2018,13:00,0.489,-,0.558
8/5/2018,14:00,0.365,-,0.424
8/5/2018,15:00,0.178,-,0.293
8/5/2018,16:00,-0.032,-,0.075
8/5/2018,17:00,-0.223,-,-0.147
8/5/2018,18:00,-0.367,-,-0.32
8/5/2018,19:00,-0.443,-,-0.389
8/5/2018,20:00,-0.424,-,-0.34
8/5/2018,21:00,-0.316,-,-0.25
8/5/2018,22:00,-0.159,-,-0.087
8/5/2018,23:00,0.004,-,0.115
8/6/2018,0:00,0.144,-,0.25
8/6/2018,1:00,0.229,-,0.354
8/6/2018,2:00,0.239,-,0.442
8/6/2018,3:00,0.177,-,0.447
8/6/2018,4:00,0.068,-,0.276
8/6/2018,5:00,-0.048,-,0.114
8/6/2018,6:00,-0.137,-,0.015
8/6/2018,7:00,-0.176,-,-0.067
8/6/2018,8:00,-0.137,-,-0.016
8/6/2018,9:00,-0.006,-,0.083
8/6/2018,10:00,0.177,-,0.232
8/6/2018,11:00,0.354,-,0.421
8/6/2018,12:00,0.487,-,0.566
8/6/2018,13:00,0.547,-,0.617
8/6/2018,14:00,0.512,-,0.611
8/6/2018,15:00,0.383,-,0.519
8/6/2018,16:00,0.189,-,0.311
8/6/2018,17:00,-0.03,-,0.091
8/6/2018,18:00,-0.235,-,-0.137
8/6/2018,19:00,-0.404,-,-0.345
8/6/2018,20:00,-0.509,-,-0.478
8/6/2018,21:00,-0.514,-,-0.507
8/6/2018,22:00,-0.42,-,-0.393
8/6/2018,23:00,-0.266,-,-0.233
8/7/2018,0:00,-0.09,-,-0.03
8/7/2018,1:00,0.081,-,0.196
8/7/2018,2:00,0.204,-,0.406
8/7/2018,3:00,0.25,-,0.495
8/7/2018,4:00,0.218,-,0.393
8/7/2018,5:00,0.132,-,0.256
8/7/2018,6:00,0.029,-,0.114
8/7/2018,7:00,-0.064,-,0
8/7/2018,8:00,-0.117,-,-0.046
8/7/2018,9:00,-0.091,-,-0.029
8/7/2018,10:00,0.028,-,0.064
8/7/2018,11:00,0.2,-,0.25
8/7/2018,12:00,0.374,-,0.488
8/7/2018,13:00,0.514,-,0.65
8/7/2018,14:00,0.584,-,0.773
8/7/2018,15:00,0.552,-,0.729
8/7/2018,16:00,0.42,-,0.588
8/7/2018,17:00,0.217,-,0.354
8/7/2018,18:00,-0.017,-,0.088
8/7/2018,19:00,-0.25,-,-0.181
8/7/2018,20:00,-0.454,-,-0.41
8/7/2018,21:00,-0.589,-,-0.604
8/7/2018,22:00,-0.612,-,-0.632
8/7/2018,23:00,-0.525,-,-0.486
8/8/2018,0:00,-0.364,-,-0.307
8/8/2018,1:00,-0.159,-,-0.021
8/8/2018,2:00,0.051,-,0.262
8/8/2018,3:00,0.211,-,0.521
8/8/2018,4:00,0.285,-,0.602
8/8/2018,5:00,0.272,-,0.591
8/8/2018,6:00,0.195,-,0.488
8/8/2018,7:00,0.088,-,0.331
8/8/2018,8:00,-0.021,-,0.151
8/8/2018,9:00,-0.093,-,0.031
8/8/2018,10:00,-0.079,-,0.047
8/8/2018,11:00,0.032,-,0.068
8/8/2018,12:00,0.203,-,0.311
8/8/2018,13:00,0.389,-,0.561
8/8/2018,14:00,0.548,-,0.793
8/8/2018,15:00,0.631,-,0.915
8/8/2018,16:00,0.602,-,0.892
8/8/2018,17:00,0.465,-,0.77
8/8/2018,18:00,0.249,-,0.546
8/8/2018,19:00,-0.008,-,0.28
8/8/2018,20:00,-0.273,-,0.001
8/8/2018,21:00,-0.511,-,-0.276
8/8/2018,22:00,-0.668,-,-0.494
8/8/2018,23:00,-0.701,-,-0.585
8/9/2018,0:00,-0.61,-,-0.437
8/9/2018,1:00,-0.426,-,-0.225
8/9/2018,2:00,-0.185,-,0.056
8/9/2018,3:00,0.06,-,0.333
8/9/2018,4:00,0.243,-,0.535
8/9/2018,5:00,0.33,-,0.651
8/9/2018,6:00,0.321,-,0.631
8/9/2018,7:00,0.237,-,0.521
8/9/2018,8:00,0.112,-,0.324
8/9/2018,9:00,-0.017,-,0.149
8/9/2018,10:00,-0.105,-,-0.004
8/9/2018,11:00,-0.099,-,-0.04
8/9/2018,12:00,0.014,-,0.075
8/9/2018,13:00,0.198,-,0.255
8/9/2018,14:00,0.407,-,0.528
8/9/2018,15:00,0.588,-,0.755
8/9/2018,16:00,0.68,-,0.873
8/9/2018,17:00,0.65,-,0.861
8/9/2018,18:00,0.505,-,0.688
8/9/2018,19:00,0.271,-,0.442
8/9/2018,20:00,-0.012,-,0.16
8/9/2018,21:00,-0.304,-,-0.158
8/9/2018,22:00,-0.563,-,-0.438
8/9/2018,23:00,-0.732,-,-0.639
8/10/2018,0:00,-0.761,-,-0.716
8/10/2018,1:00,-0.652,-,-0.587
8/10/2018,2:00,-0.437,-,-0.374
8/10/2018,3:00,-0.163,-,-0.066
8/10/2018,4:00,0.101,-,0.245
8/10/2018,5:00,0.29,-,0.473
8/10/2018,6:00,0.373,-,0.612
8/10/2018,7:00,0.351,-,0.589
8/10/2018,8:00,0.247,-,0.447
8/10/2018,9:00,0.101,-,0.267
8/10/2018,10:00,-0.048,-,0.08
8/10/2018,11:00,-0.148,-,-0.025
8/10/2018,12:00,-0.141,-,-0.023
8/10/2018,13:00,-0.014,-,0.096
8/10/2018,14:00,0.193,-,0.33
8/10/2018,15:00,0.426,-,0.598
8/10/2018,16:00,0.622,-,0.796
8/10/2018,17:00,0.718,-,0.881
8/10/2018,18:00,0.684,-,0.839
8/10/2018,19:00,0.525,-,0.634
8/10/2018,20:00,0.273,-,0.374
8/10/2018,21:00,-0.027,-,0.063
8/10/2018,22:00,-0.335,-,-0.225
8/10/2018,23:00,-0.604,-,-0.504
8/11/2018,0:00,-0.768,-,-0.729
8/11/2018,1:00,-0.776,-,-0.715
8/11/2018,2:00,-0.636,-,-0.534
8/11/2018,3:00,-0.391,-,-0.263
8/11/2018,4:00,-0.1,-,0.044
8/11/2018,5:00,0.167,-,0.334
8/11/2018,6:00,0.344,-,0.544
8/11/2018,7:00,0.404,-,0.633
8/11/2018,8:00,0.354,-,0.546
8/11/2018,9:00,0.225,-,0.406
8/11/2018,10:00,0.058,-,0.216
8/11/2018,11:00,-0.108,-,0.044
8/11/2018,12:00,-0.213,-,-0.1
8/11/2018,13:00,-0.192,-,-0.131
8/11/2018,14:00,-0.042,-,0.075
8/11/2018,15:00,0.189,-,0.331
8/11/2018,16:00,0.439,-,0.625
8/11/2018,17:00,0.643,-,0.82
8/11/2018,18:00,0.736,-,0.894
8/11/2018,19:00,0.69,-,0.805
8/11/2018,20:00,0.517,-,0.619
8/11/2018,21:00,0.255,-,0.364
8/11/2018,22:00,-0.052,-,0.052
8/11/2018,23:00,-0.363,-,-0.226
8/12/2018,0:00,-0.626,-,-0.484
8/12/2018,1:00,-0.765,-,-0.658
8/12/2018,2:00,-0.736,-,-0.608
8/12/2018,3:00,-0.563,-,-0.424
8/12/2018,4:00,-0.298,-,-0.155
8/12/2018,5:00,-0.003,-,0.135
8/12/2018,6:00,0.248,-,0.386
8/12/2018,7:00,0.394,-,0.543
8/12/2018,8:00,0.417,-,0.595
8/12/2018,9:00,0.333,-,0.492
8/12/2018,10:00,0.179,-,0.32
8/12/2018,11:00,-0.01,-,0.103
8/12/2018,12:00,-0.188,-,-0.077
8/12/2018,13:00,-0.284,-,-0.198
8/12/2018,14:00,-0.24,-,-0.148
8/12/2018,15:00,-0.066,-,0.025
8/12/2018,16:00,0.182,-,0.253
8/12/2018,17:00,0.441,-,0.549
8/12/2018,18:00,0.642,-,0.8
8/12/2018,19:00,0.723,-,0.905
8/12/2018,20:00,0.662,-,0.821
8/12/2018,21:00,0.48,-,0.615
8/12/2018,22:00,0.218,-,0.341
8/12/2018,23:00,-0.086,-,0.051
8/13/2018,0:00,-0.387,-,-0.229
8/13/2018,1:00,-0.622,-,-0.483
8/13/2018,2:00,-0.716,-,-0.621
8/13/2018,3:00,-0.643,-,-0.519
8/13/2018,4:00,-0.442,-,-0.304
8/13/2018,5:00,-0.167,-,-0.034
8/13/2018,6:00,0.117,-,0.298
8/13/2018,7:00,0.333,-,0.536
8/13/2018,8:00,0.433,-,0.701
8/13/2018,9:00,0.413,-,0.663
8/13/2018,10:00,0.294,-,0.484
8/13/2018,11:00,0.112,-,0.313
8/13/2018,12:00,-0.094,-,0.059
8/13/2018,13:00,-0.272,-,-0.163
8/13/2018,14:00,-0.348,-,-0.241
8/13/2018,15:00,-0.277,-,-0.106
8/13/2018,16:00,-0.085,-,0.11
8/13/2018,17:00,0.171,-,0.379
8/13/2018,18:00,0.428,-,0.659
8/13/2018,19:00,0.614,-,0.877
8/13/2018,20:00,0.675,-,0.925
8/13/2018,21:00,0.602,-,0.777
8/13/2018,22:00,0.419,-,0.59
8/13/2018,23:00,0.162,-,0.323
8/14/2018,0:00,-0.126,-,0.049
8/14/2018,1:00,-0.398,-,-0.22
8/14/2018,2:00,-0.585,-,-0.425
8/14/2018,3:00,-0.624,-,-0.557
8/14/2018,4:00,-0.509,-,-0.387
8/14/2018,5:00,-0.286,-,-0.153
8/14/2018,6:00,-0.014,-,0.136
8/14/2018,7:00,0.24,-,0.433
8/14/2018,8:00,0.408,-,0.668
8/14/2018,9:00,0.457,-,0.698
8/14/2018,10:00,0.393,-,0.616
8/14/2018,11:00,0.239,-,0.402
8/14/2018,12:00,0.034,-,0.156
8/14/2018,13:00,-0.179,-,-0.058
8/14/2018,14:00,-0.343,-,-0.266
8/14/2018,15:00,-0.394,-,-0.33
8/14/2018,16:00,-0.3,-,-0.184
8/14/2018,17:00,-0.097,-,0.013
8/14/2018,18:00,0.156,-,0.301
8/14/2018,19:00,0.396,-,0.567
8/14/2018,20:00,0.557,-,0.82
8/14/2018,21:00,0.599,-,0.805
8/14/2018,22:00,0.518,-,0.67
8/14/2018,23:00,0.337,-,0.484
8/15/2018,0:00,0.095,-,0.218
8/15/2018,1:00,-0.163,-,-0.016
8/15/2018,2:00,-0.387,-,-0.269
8/15/2018,3:00,-0.515,-,-0.434
8/15/2018,4:00,-0.498,-,-0.408
8/15/2018,5:00,-0.347,-,-0.244
8/15/2018,6:00,-0.114,-,-0.012
8/15/2018,7:00,0.139,-,0.267
8/15/2018,8:00,0.349,-,0.506
8/15/2018,9:00,0.464,-,0.641
8/15/2018,10:00,0.463,-,0.634
8/15/2018,11:00,0.356,-,0.515
8/15/2018,12:00,0.172,-,0.316
8/15/2018,13:00,-0.044,-,0.092
8/15/2018,14:00,-0.249,-,-0.133
8/15/2018,15:00,-0.392,-,-0.306
8/15/2018,16:00,-0.417,-,-0.322
8/15/2018,17:00,-0.307,-,-0.189
8/15/2018,18:00,-0.105,-,0.025
8/15/2018,19:00,0.13,-,0.293
8/15/2018,20:00,0.342,-,0.515
8/15/2018,21:00,0.477,-,0.647
8/15/2018,22:00,0.503,-,0.64
8/15/2018,23:00,0.417,-,0.498
8/16/2018,0:00,0.245,-,0.297
8/16/2018,1:00,0.03,-,0.076
8/16/2018,2:00,-0.182,-,-0.136
8/16/2018,3:00,-0.35,-,-0.316
8/16/2018,4:00,-0.418,-,-0.384
8/16/2018,5:00,-0.351,-,-0.256
8/16/2018,6:00,-0.175,-,-0.034
8/16/2018,7:00,0.05,-,0.205
