Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
1/1/2019,0:00,0.037,-,0.286
1/1/2019,1:00,0.168,-,0.449
1/1/2019,2:00,0.24,-,0.554
1/1/2019,3:00,0.231,-,0.574
1/1/2019,4:00,0.144,-,0.493
1/1/2019,5:00,-0.003,-,0.342
1/1/2019,6:00,-0.188,-,0.145
1/1/2019,7:00,-0.392,-,-0.071
1/1/2019,8:00,-0.579,-,-0.272
1/1/2019,9:00,-0.693,-,-0.444
1/1/2019,10:00,-0.711,-,-0.521
1/1/2019,11:00,-0.643,-,-0.461
1/1/2019,12:00,-0.504,-,-0.331
1/1/2019,13:00,-0.321,-,-0.162
1/1/2019,14:00,-0.143,-,0.012
1/1/2019,15:00,-0.018,-,0.175
1/1/2019,16:00,0.035,-,0.277
1/1/2019,17:00,0.02,-,0.309
1/1/2019,18:00,-0.045,-,0.245
1/1/2019,19:00,-0.144,-,0.123
1/1/2019,20:00,-0.251,-,-0.015
1/1/2019,21:00,-0.313,-,-0.127
1/1/2019,22:00,-0.294,-,-0.156
1/1/2019,23:00,-0.206,-,-0.106
1/2/2019,0:00,-0.071,-,-0.015
1/2/2019,1:00,0.087,-,0.168
1/2/2019,2:00,0.225,-,0.331
1/2/2019,3:00,0.294,-,0.44
1/2/2019,4:00,0.272,-,0.456
1/2/2019,5:00,0.165,-,0.376
1/2/2019,6:00,-0.005,-,0.197
1/2/2019,7:00,-0.221,-,-0.027
1/2/2019,8:00,-0.46,-,-0.266
1/2/2019,9:00,-0.672,-,-0.486
1/2/2019,10:00,-0.798,-,-0.65
1/2/2019,11:00,-0.816,-,-0.708
1/2/2019,12:00,-0.734,-,-0.598
1/2/2019,13:00,-0.563,-,-0.452
1/2/2019,14:00,-0.34,-,-0.239
1/2/2019,15:00,-0.13,-,-0.023
1/2/2019,16:00,0.016,-,0.165
1/2/2019,17:00,0.08,-,0.272
1/2/2019,18:00,0.066,-,0.294
1/2/2019,19:00,-0.009,-,0.212
1/2/2019,20:00,-0.125,-,0.105
1/2/2019,21:00,-0.243,-,-0.039
1/2/2019,22:00,-0.304,-,-0.158
1/2/2019,23:00,-0.279,-,-0.167
1/3/2019,0:00,-0.18,-,-0.11
1/3/2019,1:00,-0.028,-,0.05
1/3/2019,2:00,0.146,-,0.259
1/3/2019,3:00,0.286,-,0.454
1/3/2019,4:00,0.341,-,0.558
1/3/2019,5:00,0.296,-,0.546
1/3/2019,6:00,0.162,-,0.422
1/3/2019,7:00,-0.041,-,0.229
1/3/2019,8:00,-0.29,-,-0.023
