Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
10/1/2017,0:00,-0.106,-,-0.178
10/1/2017,1:00,0.044,-,-0.011
10/1/2017,2:00,0.177,-,0.085
10/1/2017,3:00,0.256,-,0.179
10/1/2017,4:00,0.264,-,0.25
10/1/2017,5:00,0.211,-,0.251
10/1/2017,6:00,0.123,-,0.17
10/1/2017,7:00,0.021,-,0.101
10/1/2017,8:00,-0.071,-,0.046
10/1/2017,9:00,-0.111,-,-0.003
10/1/2017,10:00,-0.072,-,0.084
10/1/2017,11:00,0.024,-,0.204
10/1/2017,12:00,0.144,-,0.386
10/1/2017,13:00,0.269,-,0.536
10/1/2017,14:00,0.368,-,0.588
10/1/2017,15:00,0.402,-,0.629
10/1/2017,16:00,0.356,-,0.594
10/1/2017,17:00,0.244,-,0.478
10/1/2017,18:00,0.091,-,0.342
10/1/2017,19:00,-0.077,-,0.146
10/1/2017,20:00,-0.242,-,-0.093
10/1/2017,21:00,-0.366,-,-0.23
10/1/2017,22:00,-0.407,-,-0.308
10/1/2017,23:00,-0.36,-,-0.303
10/2/2017,0:00,-0.249,-,-0.257
10/2/2017,1:00,-0.09,-,-0.049
10/2/2017,2:00,0.09,-,0.038
10/2/2017,3:00,0.24,-,0.2
10/2/2017,4:00,0.317,-,0.334
10/2/2017,5:00,0.311,-,0.394
10/2/2017,6:00,0.234,-,0.355
10/2/2017,7:00,0.113,-,0.284
10/2/2017,8:00,-0.027,-,0.199
10/2/2017,9:00,-0.148,-,0.105
10/2/2017,10:00,-0.198,-,0.075
10/2/2017,11:00,-0.155,-,0.117
10/2/2017,12:00,-0.042,-,0.198
10/2/2017,13:00,0.112,-,0.324
10/2/2017,14:00,0.279,-,0.456
10/2/2017,15:00,0.409,-,0.578
10/2/2017,16:00,0.457,-,0.573
10/2/2017,17:00,0.412,-,0.523
10/2/2017,18:00,0.286,-,0.414
10/2/2017,19:00,0.109,-,0.272
10/2/2017,20:00,-0.09,-,0.095
10/2/2017,21:00,-0.28,-,-0.048
10/2/2017,22:00,-0.411,-,-0.166
10/2/2017,23:00,-0.442,-,-0.24
10/3/2017,0:00,-0.371,-,-0.205
10/3/2017,1:00,-0.224,-,-0.11
10/3/2017,2:00,-0.026,-,0.053
10/3/2017,3:00,0.177,-,0.192
10/3/2017,4:00,0.325,-,0.282
10/3/2017,5:00,0.381,-,0.362
10/3/2017,6:00,0.341,-,0.365
10/3/2017,7:00,0.223,-,0.251
10/3/2017,8:00,0.058,-,0.108
10/3/2017,9:00,-0.116,-,-0.051
10/3/2017,10:00,-0.254,-,-0.164
10/3/2017,11:00,-0.3,-,-0.229
10/3/2017,12:00,-0.235,-,-0.194
10/3/2017,13:00,-0.084,-,-0.058
10/3/2017,14:00,0.116,-,0.142
10/3/2017,15:00,0.32,-,0.338
10/3/2017,16:00,0.468,-,0.502
10/3/2017,17:00,0.515,-,0.493
10/3/2017,18:00,0.454,-,0.413
10/3/2017,19:00,0.302,-,0.254
10/3/2017,20:00,0.094,-,0.065
10/3/2017,21:00,-0.131,-,-0.163
10/3/2017,22:00,-0.331,-,-0.369
10/3/2017,23:00,-0.453,-,-0.528
10/4/2017,0:00,-0.455,-,-0.636
10/4/2017,1:00,-0.341,-,-0.575
10/4/2017,2:00,-0.149,-,-0.421
10/4/2017,3:00,0.08,-,-0.223
10/4/2017,4:00,0.287,-,-0.013
10/4/2017,5:00,0.412,-,0.158
10/4/2017,6:00,0.427,-,0.229
10/4/2017,7:00,0.337,-,0.19
10/4/2017,8:00,0.168,-,0.059
10/4/2017,9:00,-0.036,-,-0.108
10/4/2017,10:00,-0.233,-,-0.291
10/4/2017,11:00,-0.373,-,-0.389
10/4/2017,12:00,-0.398,-,-0.392
10/4/2017,13:00,-0.293,-,-0.277
10/4/2017,14:00,-0.094,-,-0.098
10/4/2017,15:00,0.149,-,0.185
10/4/2017,16:00,0.377,-,0.404
10/4/2017,17:00,0.527,-,0.517
10/4/2017,18:00,0.558,-,0.535
10/4/2017,19:00,0.468,-,0.419
10/4/2017,20:00,0.284,-,0.234
10/4/2017,21:00,0.052,-,0.049
10/4/2017,22:00,-0.185,-,-0.149
