Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
9/1/2018,0:00,0.231,-,0.556
9/1/2018,1:00,0.034,-,0.219
9/1/2018,2:00,-0.154,-,0.004
9/1/2018,3:00,-0.289,-,-0.185
9/1/2018,4:00,-0.339,-,-0.237
9/1/2018,5:00,-0.274,-,-0.121
9/1/2018,6:00,-0.091,-,0.07
9/1/2018,7:00,0.148,-,0.309
9/1/2018,8:00,0.365,-,0.52
9/1/2018,9:00,0.511,-,0.66
9/1/2018,10:00,0.558,-,0.658
9/1/2018,11:00,0.49,-,0.558
9/1/2018,12:00,0.321,-,0.403
9/1/2018,13:00,0.097,-,0.199
9/1/2018,14:00,-0.131,-,-0.012
9/1/2018,15:00,-0.317,-,-0.229
9/1/2018,16:00,-0.434,-,-0.373
9/1/2018,17:00,-0.454,-,-0.379
9/1/2018,18:00,-0.355,-,-0.272
9/1/2018,19:00,-0.169,-,-0.096
9/1/2018,20:00,0.039,-,0.252
9/1/2018,21:00,0.219,-,0.312
9/1/2018,22:00,0.341,-,0.478
9/1/2018,23:00,0.374,-,0.501
9/2/2018,0:00,0.31,-,0.4
9/2/2018,1:00,0.173,-,0.283
9/2/2018,2:00,0.008,-,0.114
9/2/2018,3:00,-0.142,-,-0.036
9/2/2018,4:00,-0.238,-,-0.1
9/2/2018,5:00,-0.251,-,-0.089
9/2/2018,6:00,-0.157,-,0.017
9/2/2018,7:00,0.032,-,0.195
9/2/2018,8:00,0.252,-,0.398
9/2/2018,9:00,0.437,-,0.546
9/2/2018,10:00,0.549,-,0.667
9/2/2018,11:00,0.561,-,0.644
9/2/2018,12:00,0.461,-,0.576
9/2/2018,13:00,0.277,-,0.4
9/2/2018,14:00,0.053,-,0.177
9/2/2018,15:00,-0.165,-,-0.059
9/2/2018,16:00,-0.34,-,-0.24
9/2/2018,17:00,-0.446,-,-0.386
9/2/2018,18:00,-0.46,-,-0.361
9/2/2018,19:00,-0.368,-,-0.253
9/2/2018,20:00,-0.202,-,-0.014
9/2/2018,21:00,-0.017,-,0.091
9/2/2018,22:00,0.148,-,0.25
9/2/2018,23:00,0.263,-,0.385
9/3/2018,0:00,0.301,-,0.468
9/3/2018,1:00,0.256,-,0.342
9/3/2018,2:00,0.152,-,0.247
9/3/2018,3:00,0.024,-,0.104
9/3/2018,4:00,-0.091,-,-0.008
9/3/2018,5:00,-0.159,-,-0.083
9/3/2018,6:00,-0.156,-,-0.057
9/3/2018,7:00,-0.059,-,0.116
9/3/2018,8:00,0.114,-,0.234
9/3/2018,9:00,0.308,-,0.377
