Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
4/1/2018,0:00,-0.618,-,-0.426
4/1/2018,1:00,-0.711,-,-0.586
4/1/2018,2:00,-0.645,-,-0.508
4/1/2018,3:00,-0.448,-,-0.314
4/1/2018,4:00,-0.172,-,-0.061
4/1/2018,5:00,0.117,-,0.218
4/1/2018,6:00,0.339,-,0.448
4/1/2018,7:00,0.437,-,0.573
4/1/2018,8:00,0.398,-,0.568
4/1/2018,9:00,0.247,-,0.392
4/1/2018,10:00,0.026,-,0.166
4/1/2018,11:00,-0.222,-,-0.076
4/1/2018,12:00,-0.45,-,-0.299
4/1/2018,13:00,-0.584,-,-0.458
4/1/2018,14:00,-0.569,-,-0.422
4/1/2018,15:00,-0.415,-,-0.23
4/1/2018,16:00,-0.175,-,0.01
4/1/2018,17:00,0.089,-,0.295
4/1/2018,18:00,0.307,-,0.539
4/1/2018,19:00,0.41,-,0.666
4/1/2018,20:00,0.376,-,0.607
4/1/2018,21:00,0.224,-,0.433
4/1/2018,22:00,-0.003,-,0.183
4/1/2018,23:00,-0.265,-,-0.083
4/2/2018,0:00,-0.518,-,-0.336
4/2/2018,1:00,-0.699,-,-0.539
4/2/2018,2:00,-0.74,-,-0.602
4/2/2018,3:00,-0.626,-,-0.441
4/2/2018,4:00,-0.4,-,-0.212
4/2/2018,5:00,-0.119,-,0.09
4/2/2018,6:00,0.152,-,0.358
4/2/2018,7:00,0.336,-,0.551
4/2/2018,8:00,0.39,-,0.617
4/2/2018,9:00,0.319,-,0.505
4/2/2018,10:00,0.154,-,0.338
4/2/2018,11:00,-0.062,-,0.108
4/2/2018,12:00,-0.285,-,-0.11
4/2/2018,13:00,-0.462,-,-0.293
4/2/2018,14:00,-0.525,-,-0.366
4/2/2018,15:00,-0.443,-,-0.232
4/2/2018,16:00,-0.248,-,-0.027
4/2/2018,17:00,-0.001,-,0.247
4/2/2018,18:00,0.236,-,0.511
4/2/2018,19:00,0.394,-,0.689
4/2/2018,20:00,0.424,-,0.702
4/2/2018,21:00,0.325,-,0.571
4/2/2018,22:00,0.129,-,0.341
4/2/2018,23:00,-0.121,-,0.067
4/3/2018,0:00,-0.382,-,-0.213
4/3/2018,1:00,-0.606,-,-0.446
4/3/2018,2:00,-0.736,-,-0.608
4/3/2018,3:00,-0.722,-,-0.559
4/3/2018,4:00,-0.57,-,-0.369
4/3/2018,5:00,-0.331,-,-0.106
4/3/2018,6:00,-0.061,-,0.195
4/3/2018,7:00,0.173,-,0.42
4/3/2018,8:00,0.308,-,0.563
4/3/2018,9:00,0.321,-,0.568
4/3/2018,10:00,0.226,-,0.431
4/3/2018,11:00,0.056,-,0.229
4/3/2018,12:00,-0.144,-,0.021
4/3/2018,13:00,-0.327,-,-0.163
4/3/2018,14:00,-0.441,-,-0.277
4/3/2018,15:00,-0.435,-,-0.231
4/3/2018,16:00,-0.3,-,-0.068
4/3/2018,17:00,-0.083,-,0.17
4/3/2018,18:00,0.15,-,0.439
4/3/2018,19:00,0.34,-,0.665
4/3/2018,20:00,0.43,-,0.758
4/3/2018,21:00,0.392,-,0.676
4/3/2018,22:00,0.242,-,0.476
4/3/2018,23:00,0.017,-,0.232
4/4/2018,0:00,-0.238,-,-0.034
4/4/2018,1:00,-0.476,-,-0.288
4/4/2018,2:00,-0.656,-,-0.493
4/4/2018,3:00,-0.73,-,-0.568
4/4/2018,4:00,-0.668,-,-0.432
4/4/2018,5:00,-0.491,-,-0.219
