Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
12/1/2017,0:00,-0.228,-,-0.085
12/1/2017,1:00,-0.034,-,0.147
12/1/2017,2:00,0.173,-,0.4
12/1/2017,3:00,0.339,-,0.607
12/1/2017,4:00,0.408,-,0.693
12/1/2017,5:00,0.359,-,0.623
12/1/2017,6:00,0.206,-,0.427
12/1/2017,7:00,-0.019,-,0.17
12/1/2017,8:00,-0.275,-,-0.112
12/1/2017,9:00,-0.521,-,-0.375
12/1/2017,10:00,-0.706,-,-0.586
12/1/2017,11:00,-0.772,-,-0.676
12/1/2017,12:00,-0.7,-,-0.54
12/1/2017,13:00,-0.519,-,-0.321
12/1/2017,14:00,-0.27,-,-0.046
12/1/2017,15:00,-0.008,-,0.232
12/1/2017,16:00,0.199,-,0.448
12/1/2017,17:00,0.3,-,0.567
12/1/2017,18:00,0.285,-,0.54
12/1/2017,19:00,0.173,-,0.374
12/1/2017,20:00,0.002,-,0.165
12/1/2017,21:00,-0.184,-,-0.054
12/1/2017,22:00,-0.337,-,-0.21
12/1/2017,23:00,-0.4,-,-0.28
12/2/2017,0:00,-0.337,-,-0.177
12/2/2017,1:00,-0.168,-,0.034
12/2/2017,2:00,0.056,-,0.313
12/2/2017,3:00,0.279,-,0.597
12/2/2017,4:00,0.436,-,0.786
12/2/2017,5:00,0.475,-,0.819
12/2/2017,6:00,0.382,-,0.676
12/2/2017,7:00,0.178,-,0.439
12/2/2017,8:00,-0.096,-,0.138
12/2/2017,9:00,-0.391,-,-0.172
12/2/2017,10:00,-0.661,-,-0.453
12/2/2017,11:00,-0.851,-,-0.677
12/2/2017,12:00,-0.899,-,-0.759
12/2/2017,13:00,-0.79,-,-0.587
12/2/2017,14:00,-0.561,-,-0.348
12/2/2017,15:00,-0.266,-,-0.025
12/2/2017,16:00,0.027,-,0.272
12/2/2017,17:00,0.246,-,0.504
12/2/2017,18:00,0.345,-,0.635
12/2/2017,19:00,0.316,-,0.577
12/2/2017,20:00,0.186,-,0.417
12/2/2017,21:00,0.001,-,0.192
12/2/2017,22:00,-0.191,-,-0.02
12/2/2017,23:00,-0.34,-,-0.196
12/3/2017,0:00,-0.384,-,-0.2
12/3/2017,1:00,-0.288,-,-0.056
12/3/2017,2:00,-0.084,-,0.178
12/3/2017,3:00,0.162,-,0.484
12/3/2017,4:00,0.386,-,0.741
12/3/2017,5:00,0.519,-,0.886
12/3/2017,6:00,0.517,-,0.852
12/3/2017,7:00,0.373,-,0.645
12/3/2017,8:00,0.12,-,0.376
12/3/2017,9:00,-0.191,-,0.061
12/3/2017,10:00,-0.509,-,-0.251
12/3/2017,11:00,-0.789,-,-0.535
12/3/2017,12:00,-0.968,-,-0.749
12/3/2017,13:00,-0.983,-,-0.789
12/3/2017,14:00,-0.829,-,-0.561
12/3/2017,15:00,-0.559,-,-0.275
12/3/2017,16:00,-0.236,-,0.059
12/3/2017,17:00,0.069,-,0.355
12/3/2017,18:00,0.282,-,0.578
12/3/2017,19:00,0.363,-,0.673
12/3/2017,20:00,0.313,-,0.596
