Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
9/1/2017,0:00,-0.1,-,0.009
9/1/2017,1:00,0.041,-,0.14
9/1/2017,2:00,0.155,-,0.281
9/1/2017,3:00,0.212,-,0.339
9/1/2017,4:00,0.206,-,0.363
9/1/2017,5:00,0.155,-,0.312
9/1/2017,6:00,0.084,-,0.27
9/1/2017,7:00,0.012,-,0.203
9/1/2017,8:00,-0.036,-,0.147
9/1/2017,9:00,-0.024,-,0.131
9/1/2017,10:00,0.054,-,0.158
9/1/2017,11:00,0.163,-,0.248
9/1/2017,12:00,0.278,-,0.393
9/1/2017,13:00,0.381,-,0.516
9/1/2017,14:00,0.439,-,0.593
9/1/2017,15:00,0.425,-,0.614
9/1/2017,16:00,0.338,-,0.586
9/1/2017,17:00,0.2,-,0.428
9/1/2017,18:00,0.039,-,0.263
9/1/2017,19:00,-0.128,-,0.081
9/1/2017,20:00,-0.284,-,-0.082
9/1/2017,21:00,-0.392,-,-0.196
9/1/2017,22:00,-0.417,-,-0.262
9/1/2017,23:00,-0.368,-,-0.221
9/2/2017,0:00,-0.263,-,0.038
9/2/2017,1:00,-0.11,-,0.076
9/2/2017,2:00,0.058,-,0.228
9/2/2017,3:00,0.192,-,0.376
9/2/2017,4:00,0.257,-,0.421
9/2/2017,5:00,0.252,-,0.418
9/2/2017,6:00,0.194,-,0.392
9/2/2017,7:00,0.105,-,0.24
9/2/2017,8:00,0.008,-,0.089
9/2/2017,9:00,-0.061,-,-0.017
9/2/2017,10:00,-0.057,-,-0.028
9/2/2017,11:00,0.018,-,-0.003
9/2/2017,12:00,0.134,-,0.167
9/2/2017,13:00,0.268,-,0.365
9/2/2017,14:00,0.395,-,0.537
9/2/2017,15:00,0.469,-,0.62
9/2/2017,16:00,0.46,-,0.644
9/2/2017,17:00,0.37,-,0.522
9/2/2017,18:00,0.222,-,0.383
9/2/2017,19:00,0.04,-,0.17
9/2/2017,20:00,-0.154,-,-0.002
9/2/2017,21:00,-0.331,-,-0.287
9/2/2017,22:00,-0.444,-,-0.41
9/2/2017,23:00,-0.463,-,-0.402
9/3/2017,0:00,-0.398,-,-0.37
9/3/2017,1:00,-0.263,-,-0.188
9/3/2017,2:00,-0.075,-,0.029
9/3/2017,3:00,0.115,-,0.239
9/3/2017,4:00,0.254,-,0.433
9/3/2017,5:00,0.312,-,0.505
9/3/2017,6:00,0.291,-,0.492
9/3/2017,7:00,0.207,-,0.374
9/3/2017,8:00,0.088,-,0.218
9/3/2017,9:00,-0.035,-,0.044
9/3/2017,10:00,-0.115,-,-0.102
9/3/2017,11:00,-0.109,-,-0.107
9/3/2017,12:00,-0.021,-,-0.002
9/3/2017,13:00,0.119,-,0.175
9/3/2017,14:00,0.285,-,0.385
9/3/2017,15:00,0.434,-,0.55
9/3/2017,16:00,0.514,-,0.661
9/3/2017,17:00,0.499,-,0.643
9/3/2017,18:00,0.393,-,0.515
9/3/2017,19:00,0.22,-,0.312
9/3/2017,20:00,0.01,-,0.076
9/3/2017,21:00,-0.207,-,-0.18
9/3/2017,22:00,-0.394,-,-0.389
9/3/2017,23:00,-0.498,-,-0.53
9/4/2017,0:00,-0.493,-,-0.504
9/4/2017,1:00,-0.392,-,-0.346
9/4/2017,2:00,-0.215,-,-0.129
9/4/2017,3:00,0.002,-,0.121
9/4/2017,4:00,0.2,-,0.359
9/4/2017,5:00,0.326,-,0.514
9/4/2017,6:00,0.359,-,0.553
9/4/2017,7:00,0.303,-,0.46
9/4/2017,8:00,0.183,-,0.291
9/4/2017,9:00,0.034,-,0.092
9/4/2017,10:00,-0.106,-,-0.061
9/4/2017,11:00,-0.186,-,-0.187
9/4/2017,12:00,-0.163,-,-0.145
9/4/2017,13:00,-0.045,-,0.007
9/4/2017,14:00,0.132,-,0.209
9/4/2017,15:00,0.328,-,0.462
9/4/2017,16:00,0.488,-,0.652
9/4/2017,17:00,0.561,-,0.74
9/4/2017,18:00,0.526,-,0.699
9/4/2017,19:00,0.391,-,0.548
9/4/2017,20:00,0.187,-,0.331
9/4/2017,21:00,-0.047,-,0.064
9/4/2017,22:00,-0.277,-,-0.196
9/4/2017,23:00,-0.458,-,-0.41
9/5/2017,0:00,-0.536,-,-0.537
9/5/2017,1:00,-0.488,-,-0.418
9/5/2017,2:00,-0.337,-,-0.23
9/5/2017,3:00,-0.122,-,0.042
9/5/2017,4:00,0.11,-,0.317
9/5/2017,5:00,0.297,-,0.539
9/5/2017,6:00,0.392,-,0.638
9/5/2017,7:00,0.381,-,0.593
9/5/2017,8:00,0.28,-,0.46
9/5/2017,9:00,0.124,-,0.245
9/5/2017,10:00,-0.049,-,0.038
9/5/2017,11:00,-0.196,-,-0.127
9/5/2017,12:00,-0.261,-,-0.186
9/5/2017,13:00,-0.204,-,-0.105
9/5/2017,14:00,-0.044,-,0.091
9/5/2017,15:00,0.17,-,0.328
9/5/2017,16:00,0.385,-,0.593
9/5/2017,17:00,0.543,-,0.801
9/5/2017,18:00,0.596,-,0.845
9/5/2017,19:00,0.528,-,0.746
9/5/2017,20:00,0.359,-,0.54
9/5/2017,21:00,0.128,-,0.283
9/5/2017,22:00,-0.121,-,0.007
9/5/2017,23:00,-0.351,-,-0.248
9/6/2017,0:00,-0.51,-,-0.434
9/6/2017,1:00,-0.54,-,-0.435
9/6/2017,2:00,-0.435,-,-0.265
9/6/2017,3:00,-0.237,-,-0.017
9/6/2017,4:00,0.004,-,0.267
9/6/2017,5:00,0.233,-,0.53
