Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
5/1/2018,0:00,-0.608,-,-0.612
5/1/2018,1:00,-0.749,-,-0.801
5/1/2018,2:00,-0.742,-,-0.813
5/1/2018,3:00,-0.595,-,-0.641
5/1/2018,4:00,-0.356,-,-0.424
5/1/2018,5:00,-0.077,-,-0.166
5/1/2018,6:00,0.173,-,0.045
5/1/2018,7:00,0.327,-,0.19
5/1/2018,8:00,0.357,-,0.25
5/1/2018,9:00,0.279,-,0.199
5/1/2018,10:00,0.13,-,0.058
5/1/2018,11:00,-0.051,-,-0.109
5/1/2018,12:00,-0.225,-,-0.28
5/1/2018,13:00,-0.334,-,-0.379
5/1/2018,14:00,-0.322,-,-0.318
5/1/2018,15:00,-0.186,-,-0.134
5/1/2018,16:00,0.024,-,0.102
5/1/2018,17:00,0.248,-,0.339
5/1/2018,18:00,0.429,-,0.559
5/1/2018,19:00,0.504,-,0.646
5/1/2018,20:00,0.447,-,0.539
5/1/2018,21:00,0.278,-,0.317
5/1/2018,22:00,0.04,-,0.059
5/1/2018,23:00,-0.225,-,-0.206
5/2/2018,0:00,-0.479,-,-0.464
5/2/2018,1:00,-0.677,-,-0.683
5/2/2018,2:00,-0.758,-,-0.789
5/2/2018,3:00,-0.694,-,-0.713
5/2/2018,4:00,-0.513,-,-0.509
5/2/2018,5:00,-0.265,-,-0.273
5/2/2018,6:00,-0.002,-,-0.053
5/2/2018,7:00,0.209,-,0.126
5/2/2018,8:00,0.315,-,0.224
5/2/2018,9:00,0.307,-,0.215
5/2/2018,10:00,0.209,-,0.124
5/2/2018,11:00,0.057,-,-0.044
5/2/2018,12:00,-0.109,-,-0.208
5/2/2018,13:00,-0.246,-,-0.324
5/2/2018,14:00,-0.301,-,-0.297
5/2/2018,15:00,-0.233,-,-0.178
5/2/2018,16:00,-0.063,-,0.024
5/2/2018,17:00,0.15,-,0.259
5/2/2018,18:00,0.348,-,0.467
5/2/2018,19:00,0.474,-,0.573
5/2/2018,20:00,0.483,-,0.525
5/2/2018,21:00,0.37,-,0.359
5/2/2018,22:00,0.167,-,0.116
5/2/2018,23:00,-0.084,-,-0.17
5/3/2018,0:00,-0.34,-,-0.413
5/3/2018,1:00,-0.56,-,-0.626
5/3/2018,2:00,-0.704,-,-0.782
5/3/2018,3:00,-0.726,-,-0.826
5/3/2018,4:00,-0.616,-,-0.666
5/3/2018,5:00,-0.414,-,-0.456
5/3/2018,6:00,-0.171,-,-0.237
5/3/2018,7:00,0.061,-,-0.034
5/3/2018,8:00,0.225,-,0.132
5/3/2018,9:00,0.288,-,0.203
5/3/2018,10:00,0.252,-,0.2
5/3/2018,11:00,0.14,-,0.071
5/3/2018,12:00,-0.009,-,-0.074
5/3/2018,13:00,-0.15,-,-0.171
5/3/2018,14:00,-0.245,-,-0.197
5/3/2018,15:00,-0.247,-,-0.153
5/3/2018,16:00,-0.138,-,-0.003
5/3/2018,17:00,0.049,-,0.187
5/3/2018,18:00,0.248,-,0.381
5/3/2018,19:00,0.405,-,0.527
5/3/2018,20:00,0.474,-,0.546
5/3/2018,21:00,0.428,-,0.42
5/3/2018,22:00,0.276,-,0.227
5/3/2018,23:00,0.052,-,-0.033
5/4/2018,0:00,-0.197,-,-0.282
5/4/2018,1:00,-0.427,-,-0.518
5/4/2018,2:00,-0.603,-,-0.676
5/4/2018,3:00,-0.693,-,-0.761
5/4/2018,4:00,-0.664,-,-0.682
5/4/2018,5:00,-0.521,-,-0.508
5/4/2018,6:00,-0.313,-,-0.31
5/4/2018,7:00,-0.092,-,-0.101
5/4/2018,8:00,0.101,-,0.05
5/4/2018,9:00,0.224,-,0.135
5/4/2018,10:00,0.253,-,0.153
5/4/2018,11:00,0.195,-,0.1
5/4/2018,12:00,0.077,-,-0.012
5/4/2018,13:00,-0.058,-,-0.113
5/4/2018,14:00,-0.168,-,-0.16
5/4/2018,15:00,-0.223,-,-0.16
5/4/2018,16:00,-0.186,-,-0.096
5/4/2018,17:00,-0.05,-,0.044
5/4/2018,18:00,0.136,-,0.248
5/4/2018,19:00,0.307,-,0.442
5/4/2018,20:00,0.417,-,0.551
5/4/2018,21:00,0.438,-,0.509
5/4/2018,22:00,0.353,-,0.37
5/4/2018,23:00,0.178,-,0.163
5/5/2018,0:00,-0.05,-,-0.087
5/5/2018,1:00,-0.282,-,-0.311
5/5/2018,2:00,-0.475,-,-0.5
5/5/2018,3:00,-0.607,-,-0.611
5/5/2018,4:00,-0.651,-,-0.61
5/5/2018,5:00,-0.583,-,-0.491
5/5/2018,6:00,-0.425,-,-0.343
5/5/2018,7:00,-0.229,-,-0.16
5/5/2018,8:00,-0.038,-,0.018
5/5/2018,9:00,0.12,-,0.142
5/5/2018,10:00,0.21,-,0.197
5/5/2018,11:00,0.214,-,0.18
5/5/2018,12:00,0.143,-,0.079
5/5/2018,13:00,0.03,-,-0.013
5/5/2018,14:00,-0.083,-,-0.074
5/5/2018,15:00,-0.165,-,-0.135
5/5/2018,16:00,-0.19,-,-0.116
5/5/2018,17:00,-0.127,-,-0.056
5/5/2018,18:00,0.017,-,0.083
5/5/2018,19:00,0.185,-,0.261
5/5/2018,20:00,0.319,-,0.392
5/5/2018,21:00,0.392,-,0.451
5/5/2018,22:00,0.38,-,0.417
5/5/2018,23:00,0.274,-,0.254
5/6/2018,0:00,0.092,-,0.052
5/6/2018,1:00,-0.122,-,-0.136
5/6/2018,2:00,-0.324,-,-0.35
5/6/2018,3:00,-0.482,-,-0.504
5/6/2018,4:00,-0.578,-,-0.608
5/6/2018,5:00,-0.589,-,-0.635
5/6/2018,6:00,-0.5,-,-0.513
5/6/2018,7:00,-0.344,-,-0.356
5/6/2018,8:00,-0.172,-,-0.17
5/6/2018,9:00,-0.008,-,-0.001
5/6/2018,10:00,0.123,-,0.112
5/6/2018,11:00,0.19,-,0.171
5/6/2018,12:00,0.18,-,0.14
5/6/2018,13:00,0.109,-,0.051
5/6/2018,14:00,0.008,-,-0.029
