Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
3/1/2019,0:00,0.113,-,0.195
3/1/2019,1:00,0.187,-,0.32
3/1/2019,2:00,0.209,-,0.394
3/1/2019,3:00,0.168,-,0.41
3/1/2019,4:00,0.07,-,0.339
3/1/2019,5:00,-0.064,-,0.221
3/1/2019,6:00,-0.22,-,0.082
3/1/2019,7:00,-0.39,-,-0.096
3/1/2019,8:00,-0.548,-,-0.295
3/1/2019,9:00,-0.651,-,-0.476
3/1/2019,10:00,-0.677,-,-0.536
3/1/2019,11:00,-0.633,-,-0.483
3/1/2019,12:00,-0.521,-,-0.349
3/1/2019,13:00,-0.359,-,-0.18
3/1/2019,14:00,-0.192,-,-0.006
3/1/2019,15:00,-0.062,-,0.222
3/1/2019,16:00,0.007,-,0.349
3/1/2019,17:00,0.016,-,0.391
3/1/2019,18:00,-0.019,-,0.359
3/1/2019,19:00,-0.088,-,0.28
3/1/2019,20:00,-0.169,-,0.124
3/1/2019,21:00,-0.215,-,0.03
3/1/2019,22:00,-0.199,-,-0.019
3/1/2019,23:00,-0.133,-,0.009
3/2/2019,0:00,-0.034,-,0
3/2/2019,1:00,0.082,-,0.133
3/2/2019,2:00,0.182,-,0.281
3/2/2019,3:00,0.226,-,0.379
3/2/2019,4:00,0.199,-,0.458
3/2/2019,5:00,0.107,-,0.426
3/2/2019,6:00,-0.033,-,0.285
3/2/2019,7:00,-0.208,-,0.113
3/2/2019,8:00,-0.406,-,-0.106
3/2/2019,9:00,-0.586,-,-0.338
3/2/2019,10:00,-0.697,-,-0.506
3/2/2019,11:00,-0.721,-,-0.572
3/2/2019,12:00,-0.66,-,-0.489
3/2/2019,13:00,-0.517,-,-0.331
3/2/2019,14:00,-0.319,-,-0.113
3/2/2019,15:00,-0.125,-,0.119
3/2/2019,16:00,0.015,-,0.312
3/2/2019,17:00,0.08,-,0.451
3/2/2019,18:00,0.073,-,0.465
3/2/2019,19:00,0.007,-,0.395
3/2/2019,20:00,-0.1,-,0.288
3/2/2019,21:00,-0.212,-,0.115
3/2/2019,22:00,-0.275,-,-0.012
3/2/2019,23:00,-0.263,-,-0.094
3/3/2019,0:00,-0.189,-,-0.116
3/3/2019,1:00,-0.066,-,-0.01
3/3/2019,2:00,0.084,-,0.165
3/3/2019,3:00,0.209,-,0.36
3/3/2019,4:00,0.264,-,0.485
3/3/2019,5:00,0.236,-,0.524
3/3/2019,6:00,0.132,-,0.442
3/3/2019,7:00,-0.031,-,0.274
3/3/2019,8:00,-0.237,-,0.063
3/3/2019,9:00,-0.459,-,-0.18
3/3/2019,10:00,-0.645,-,-0.402
3/3/2019,11:00,-0.745,-,-0.568
3/3/2019,12:00,-0.745,-,-0.583
3/3/2019,13:00,-0.645,-,-0.457
3/3/2019,14:00,-0.457,-,-0.272
3/3/2019,15:00,-0.228,-,-0.033
3/3/2019,16:00,-0.027,-,0.214
3/3/2019,17:00,0.102,-,0.419
3/3/2019,18:00,0.141,-,0.518
3/3/2019,19:00,0.097,-,0.491
3/3/2019,20:00,-0.012,-,0.388
3/3/2019,21:00,-0.156,-,0.236
3/3/2019,22:00,-0.288,-,0.113
3/3/2019,23:00,-0.352,-,0.021
3/4/2019,0:00,-0.325,-,0.023
3/4/2019,1:00,-0.221,-,0.136
3/4/2019,2:00,-0.059,-,0.319
3/4/2019,3:00,0.121,-,0.553
3/4/2019,4:00,0.256,-,0.737
3/4/2019,5:00,0.306,-,0.828
3/4/2019,6:00,0.259,-,0.86
3/4/2019,7:00,0.126,-,0.705
3/4/2019,8:00,-0.07,-,0.443
3/4/2019,9:00,-0.302,-,0.163
3/4/2019,10:00,-0.533,-,-0.118
3/4/2019,11:00,-0.706,-,-0.346
3/4/2019,12:00,-0.774,-,-0.512
3/4/2019,13:00,-0.726,-,-0.459
3/4/2019,14:00,-0.574,-,-0.312
3/4/2019,15:00,-0.347,-,-0.105
3/4/2019,16:00,-0.107,-,0.133
3/4/2019,17:00,0.081,-,0.342
3/4/2019,18:00,0.176,-,0.469
3/4/2019,19:00,0.168,-,0.458
3/4/2019,20:00,0.074,-,0.335
3/4/2019,21:00,-0.076,-,0.168
3/4/2019,22:00,-0.245,-,-0.016
3/4/2019,23:00,-0.38,-,-0.186
3/5/2019,0:00,-0.424,-,-0.291
3/5/2019,1:00,-0.361,-,-0.286
3/5/2019,2:00,-0.213,-,-0.161
3/5/2019,3:00,-0.015,-,0.035
3/5/2019,4:00,0.18,-,0.242
3/5/2019,5:00,0.308,-,0.439
3/5/2019,6:00,0.334,-,0.49
3/5/2019,7:00,0.251,-,0.414
3/5/2019,8:00,0.079,-,0.223
3/5/2019,9:00,-0.146,-,0.028
3/5/2019,10:00,-0.391,-,-0.206
3/5/2019,11:00,-0.613,-,-0.441
3/5/2019,12:00,-0.751,-,-0.643
3/5/2019,13:00,-0.762,-,-0.682
3/5/2019,14:00,-0.653,-,-0.631
3/5/2019,15:00,-0.452,-,-0.441
3/5/2019,16:00,-0.204,-,-0.231
3/5/2019,17:00,0.025,-,-0.003
3/5/2019,18:00,0.174,-,0.15
3/5/2019,19:00,0.214,-,0.251
3/5/2019,20:00,0.149,-,0.213
3/5/2019,21:00,0.007,-,0.095
3/5/2019,22:00,-0.173,-,-0.086
3/5/2019,23:00,-0.351,-,-0.271
3/6/2019,0:00,-0.469,-,-0.414
3/6/2019,1:00,-0.471,-,-0.479
3/6/2019,2:00,-0.358,-,-0.434
3/6/2019,3:00,-0.167,-,-0.342
3/6/2019,4:00,0.054,-,-0.194
3/6/2019,5:00,0.245,-,-0.018
3/6/2019,6:00,0.347,-,0.091
3/6/2019,7:00,0.33,-,0.094
3/6/2019,8:00,0.202,-,-0.016
3/6/2019,9:00,-0.004,-,-0.222
3/6/2019,10:00,-0.245,-,-0.469
3/6/2019,11:00,-0.486,-,-0.699
3/6/2019,12:00,-0.678,-,-0.929
3/6/2019,13:00,-0.757,-,-1.102
3/6/2019,14:00,-0.697,-,-1.11
3/6/2019,15:00,-0.528,-,-0.945
3/6/2019,16:00,-0.294,-,-0.734
3/6/2019,17:00,-0.048,-,-0.462
3/6/2019,18:00,0.146,-,-0.212
3/6/2019,19:00,0.235,-,-0.039
3/6/2019,20:00,0.208,-,0.035
3/6/2019,21:00,0.085,-,-0.005
3/6/2019,22:00,-0.093,-,-0.141
3/6/2019,23:00,-0.29,-,-0.322
3/7/2019,0:00,-0.459,-,-0.506
3/7/2019,1:00,-0.537,-,-0.63
3/7/2019,2:00,-0.482,-,-0.598
3/7/2019,3:00,-0.318,-,-0.493
3/7/2019,4:00,-0.096,-,-0.281
