Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
12/1/2018,0:00,0.123,-,0.466
12/1/2018,1:00,0.187,-,0.572
12/1/2018,2:00,0.178,-,0.555
12/1/2018,3:00,0.106,-,0.478
12/1/2018,4:00,-0.009,-,0.355
12/1/2018,5:00,-0.141,-,0.23
12/1/2018,6:00,-0.265,-,0.102
12/1/2018,7:00,-0.341,-,0.023
12/1/2018,8:00,-0.338,-,0.049
12/1/2018,9:00,-0.262,-,0.125
12/1/2018,10:00,-0.144,-,0.262
12/1/2018,11:00,-0.011,-,0.41
12/1/2018,12:00,0.104,-,0.549
12/1/2018,13:00,0.164,-,0.595
12/1/2018,14:00,0.157,-,0.641
12/1/2018,15:00,0.086,-,0.591
12/1/2018,16:00,-0.03,-,0.493
12/1/2018,17:00,-0.168,-,0.347
12/1/2018,18:00,-0.307,-,0.202
12/1/2018,19:00,-0.419,-,0.112
12/1/2018,20:00,-0.459,-,0.089
12/1/2018,21:00,-0.411,-,0.106
12/1/2018,22:00,-0.296,-,0.288
12/1/2018,23:00,-0.14,-,0.468
12/2/2018,0:00,0.026,-,0.587
12/2/2018,1:00,0.16,-,0.709
12/2/2018,2:00,0.229,-,0.798
12/2/2018,3:00,0.218,-,0.791
12/2/2018,4:00,0.136,-,0.729
12/2/2018,5:00,0.003,-,0.6
12/2/2018,6:00,-0.157,-,0.454
12/2/2018,7:00,-0.32,-,0.298
12/2/2018,8:00,-0.438,-,0.158
12/2/2018,9:00,-0.468,-,0.096
12/2/2018,10:00,-0.413,-,0.121
12/2/2018,11:00,-0.296,-,0.215
12/2/2018,12:00,-0.142,-,0.337
12/2/2018,13:00,0.014,-,0.496
12/2/2018,14:00,0.125,-,0.6
12/2/2018,15:00,0.166,-,0.667
12/2/2018,16:00,0.132,-,0.649
12/2/2018,17:00,0.042,-,0.581
12/2/2018,18:00,-0.085,-,0.463
12/2/2018,19:00,-0.23,-,0.319
12/2/2018,20:00,-0.355,-,0.178
12/2/2018,21:00,-0.405,-,0.109
12/2/2018,22:00,-0.364,-,0.12
12/2/2018,23:00,-0.251,-,0.223
12/3/2018,0:00,-0.091,-,0.369
12/3/2018,1:00,0.086,-,0.53
12/3/2018,2:00,0.228,-,0.679
12/3/2018,3:00,0.294,-,0.757
12/3/2018,4:00,0.268,-,0.753
12/3/2018,5:00,0.162,-,0.652
12/3/2018,6:00,-0.002,-,0.506
12/3/2018,7:00,-0.204,-,0.299
12/3/2018,8:00,-0.412,-,0.086
12/3/2018,9:00,-0.563,-,-0.081
12/3/2018,10:00,-0.611,-,-0.163
12/3/2018,11:00,-0.559,-,-0.126
12/3/2018,12:00,-0.425,-,0.004
12/3/2018,13:00,-0.231,-,0.187
12/3/2018,14:00,-0.028,-,0.401
12/3/2018,15:00,0.126,-,0.589
12/3/2018,16:00,0.197,-,0.72
12/3/2018,17:00,0.183,-,0.719
12/3/2018,18:00,0.1,-,0.641
12/3/2018,19:00,-0.033,-,0.42
12/3/2018,20:00,-0.193,-,0.244
12/3/2018,21:00,-0.326,-,0.082
12/3/2018,22:00,-0.374,-,-0.011
12/3/2018,23:00,-0.326,-,0.017
12/4/2018,0:00,-0.2,-,0.134
12/4/2018,1:00,-0.02,-,0.31
12/4/2018,2:00,0.172,-,0.506
12/4/2018,3:00,0.314,-,0.642
12/4/2018,4:00,0.361,-,0.697
12/4/2018,5:00,0.307,-,0.616
12/4/2018,6:00,0.165,-,0.457
12/4/2018,7:00,-0.041,-,0.216
12/4/2018,8:00,-0.288,-,-0.03
12/4/2018,9:00,-0.529,-,-0.256
12/4/2018,10:00,-0.694,-,-0.427
12/4/2018,11:00,-0.741,-,-0.537
12/4/2018,12:00,-0.672,-,-0.515
12/4/2018,13:00,-0.501,-,-0.416
12/4/2018,14:00,-0.262,-,-0.24
12/4/2018,15:00,-0.021,-,-0.033
12/4/2018,16:00,0.155,-,0.144
12/4/2018,17:00,0.236,-,0.292
12/4/2018,18:00,0.222,-,0.347
12/4/2018,19:00,0.127,-,0.288
12/4/2018,20:00,-0.023,-,0.144
12/4/2018,21:00,-0.193,-,-0.007
12/4/2018,22:00,-0.322,-,-0.158
12/4/2018,23:00,-0.354,-,-0.197
12/5/2018,0:00,-0.284,-,-0.144
12/5/2018,1:00,-0.131,-,-0.052
12/5/2018,2:00,0.073,-,0.101
12/5/2018,3:00,0.271,-,0.261
12/5/2018,4:00,0.395,-,0.353
12/5/2018,5:00,0.409,-,0.379
