Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
1/1/2018,0:00,-0.344,-,-0.194
1/1/2018,1:00,-0.212,-,-0.02
1/1/2018,2:00,-0.001,-,0.241
1/1/2018,3:00,0.231,-,0.445
1/1/2018,4:00,0.417,-,0.677
1/1/2018,5:00,0.497,-,0.755
1/1/2018,6:00,0.438,-,0.557
1/1/2018,7:00,0.252,-,0.337
1/1/2018,8:00,-0.028,-,0.059
1/1/2018,9:00,-0.352,-,-0.235
1/1/2018,10:00,-0.675,-,-0.547
1/1/2018,11:00,-0.946,-,-0.83
1/1/2018,12:00,-1.098,-,-1.055
1/1/2018,13:00,-1.081,-,-1.103
1/1/2018,14:00,-0.907,-,-0.989
1/1/2018,15:00,-0.627,-,-0.82
1/1/2018,16:00,-0.303,-,-0.604
1/1/2018,17:00,-0.01,-,-0.346
1/1/2018,18:00,0.184,-,-0.199
1/1/2018,19:00,0.251,-,-0.132
1/1/2018,20:00,0.198,-,-0.176
1/1/2018,21:00,0.063,-,-0.27
1/1/2018,22:00,-0.11,-,-0.431
1/1/2018,23:00,-0.276,-,-0.604
1/2/2018,0:00,-0.373,-,-0.721
1/2/2018,1:00,-0.339,-,-0.765
1/2/2018,2:00,-0.176,-,-0.693
1/2/2018,3:00,0.059,-,-0.622
1/2/2018,4:00,0.301,-,-0.46
1/2/2018,5:00,0.48,-,-0.359
1/2/2018,6:00,0.535,-,-0.266
1/2/2018,7:00,0.443,-,-0.264
1/2/2018,8:00,0.222,-,-0.392
1/2/2018,9:00,-0.084,-,-0.572
1/2/2018,10:00,-0.425,-,-0.798
1/2/2018,11:00,-0.756,-,-1.061
1/2/2018,12:00,-1.021,-,-1.296
1/2/2018,13:00,-1.144,-,-1.473
1/2/2018,14:00,-1.086,-,-1.575
1/2/2018,15:00,-0.875,-,-1.476
1/2/2018,16:00,-0.57,-,-1.264
1/2/2018,17:00,-0.237,-,-1.007
1/2/2018,18:00,0.045,-,-0.72
1/2/2018,19:00,0.214,-,-0.488
1/2/2018,20:00,0.25,-,-0.344
1/2/2018,21:00,0.173,-,-0.304
1/2/2018,22:00,0.022,-,-0.324
1/2/2018,23:00,-0.16,-,-0.429
1/3/2018,0:00,-0.324,-,-0.559
1/3/2018,1:00,-0.4,-,-0.625
1/3/2018,2:00,-0.332,-,-0.647
1/3/2018,3:00,-0.141,-,-0.512
1/3/2018,4:00,0.109,-,-0.352
1/3/2018,5:00,0.35,-,-0.106
1/3/2018,6:00,0.511,-,0.066
1/3/2018,7:00,0.536,-,0.187
1/3/2018,8:00,0.412,-,0.199
1/3/2018,9:00,0.168,-,0.045
1/3/2018,10:00,-0.148,-,-0.197
1/3/2018,11:00,-0.489,-,-0.431
1/3/2018,12:00,-0.811,-,-0.696
1/3/2018,13:00,-1.048,-,-0.943
1/3/2018,14:00,-1.127,-,-1.132
1/3/2018,15:00,-1.026,-,-1.142
1/3/2018,16:00,-0.789,-,-0.991
1/3/2018,17:00,-0.475,-,-0.714
1/3/2018,18:00,-0.154,-,-0.44
1/3/2018,19:00,0.096,-,-0.199
1/3/2018,20:00,0.223,-,-0.033
1/3/2018,21:00,0.224,-,0.017
1/3/2018,22:00,0.123,-,-0.013
1/3/2018,23:00,-0.042,-,-0.155
1/4/2018,0:00,-0.228,-,-0.336
1/4/2018,1:00,-0.38,-,-0.459
1/4/2018,2:00,-0.424,-,-0.505
1/4/2018,3:00,-0.324,-,-0.428
1/4/2018,4:00,-0.114,-,-0.277
1/4/2018,5:00,0.139,-,-0.098
1/4/2018,6:00,0.367,-,0.075
1/4/2018,7:00,0.502,-,0.211
1/4/2018,8:00,0.495,-,0.243
1/4/2018,9:00,0.349,-,0.153
1/4/2018,10:00,0.098,-,-0.026
1/4/2018,11:00,-0.214,-,-0.278
1/4/2018,12:00,-0.541,-,-0.532
1/4/2018,13:00,-0.832,-,-0.8
1/4/2018,14:00,-1.022,-,-1.015
1/4/2018,15:00,-1.05,-,-1.1
1/4/2018,16:00,-0.914,-,-0.99
1/4/2018,17:00,-0.662,-,-0.792
1/4/2018,18:00,-0.356,-,-0.515
1/4/2018,19:00,-0.067,-,-0.241
1/4/2018,20:00,0.135,-,-0.034
1/4/2018,21:00,0.217,-,0.113
1/4/2018,22:00,0.182,-,0.148
1/4/2018,23:00,0.057,-,0.058
1/5/2018,0:00,-0.12,-,-0.083
1/5/2018,1:00,-0.301,-,-0.228
1/5/2018,2:00,-0.429,-,-0.377
1/5/2018,3:00,-0.442,-,-0.439
1/5/2018,4:00,-0.319,-,-0.382
1/5/2018,5:00,-0.102,-,-0.274
1/5/2018,6:00,0.141,-,-0.065
1/5/2018,7:00,0.345,-,0.119
1/5/2018,8:00,0.447,-,0.242
1/5/2018,9:00,0.416,-,0.215
1/5/2018,10:00,0.262,-,0.085
1/5/2018,11:00,0.016,-,-0.149
1/5/2018,12:00,-0.277,-,-0.357
1/5/2018,13:00,-0.57,-,-0.59
1/5/2018,14:00,-0.812,-,-0.779
1/5/2018,15:00,-0.947,-,-0.923
1/5/2018,16:00,-0.926,-,-0.948
1/5/2018,17:00,-0.761,-,-0.836
1/5/2018,18:00,-0.509,-,-0.643
1/5/2018,19:00,-0.23,-,-0.381
1/5/2018,20:00,0.012,-,-0.147
1/5/2018,21:00,0.162,-,0.056
1/5/2018,22:00,0.199,-,0.142
1/5/2018,23:00,0.13,-,0.131
1/6/2018,0:00,-0.016,-,0.012
1/6/2018,1:00,-0.195,-,-0.167
1/6/2018,2:00,-0.362,-,-0.324
1/6/2018,3:00,-0.466,-,-0.442
1/6/2018,4:00,-0.455,-,-0.446
1/6/2018,5:00,-0.319,-,-0.309
1/6/2018,6:00,-0.11,-,-0.114
1/6/2018,7:00,0.109,-,0.104
1/6/2018,8:00,0.28,-,0.284
1/6/2018,9:00,0.355,-,0.358
1/6/2018,10:00,0.311,-,0.289
1/6/2018,11:00,0.158,-,0.099
1/6/2018,12:00,-0.069,-,-0.131
1/6/2018,13:00,-0.326,-,-0.378
1/6/2018,14:00,-0.567,-,-0.623
1/6/2018,15:00,-0.753,-,-0.833
1/6/2018,16:00,-0.832,-,-0.958
1/6/2018,17:00,-0.769,-,-0.904
1/6/2018,18:00,-0.59,-,-0.74
1/6/2018,19:00,-0.355,-,-0.505
1/6/2018,20:00,-0.116,-,-0.237
1/6/2018,21:00,0.076,-,-0.024
1/6/2018,22:00,0.178,-,0.117
1/6/2018,23:00,0.172,-,0.177
1/7/2018,0:00,0.074,-,0.095
1/7/2018,1:00,-0.082,-,-0.059
1/7/2018,2:00,-0.253,-,-0.265
1/7/2018,3:00,-0.403,-,-0.447
1/7/2018,4:00,-0.488,-,-0.574
1/7/2018,5:00,-0.463,-,-0.571
1/7/2018,6:00,-0.33,-,-0.439
1/7/2018,7:00,-0.145,-,-0.287
1/7/2018,8:00,0.038,-,-0.112
1/7/2018,9:00,0.179,-,0.017
1/7/2018,10:00,0.236,-,0.06
1/7/2018,11:00,0.19,-,0.028
1/7/2018,12:00,0.052,-,-0.109
1/7/2018,13:00,-0.141,-,-0.3
1/7/2018,14:00,-0.347,-,-0.494
1/7/2018,15:00,-0.532,-,-0.667
1/7/2018,16:00,-0.663,-,-0.796
1/7/2018,17:00,-0.692,-,-0.844
1/7/2018,18:00,-0.601,-,-0.649
1/7/2018,19:00,-0.426,-,-0.464
1/7/2018,20:00,-0.221,-,-0.2
1/7/2018,21:00,-0.024,-,0.033
1/7/2018,22:00,0.123,-,0.219
1/7/2018,23:00,0.181,-,0.313
1/8/2018,0:00,0.142,-,0.263
1/8/2018,1:00,0.028,-,0.127
1/8/2018,2:00,-0.126,-,-0.062
1/8/2018,3:00,-0.286,-,-0.256
1/8/2018,4:00,-0.425,-,-0.421
1/8/2018,5:00,-0.499,-,-0.509
1/8/2018,6:00,-0.474,-,-0.443
1/8/2018,7:00,-0.363,-,-0.327
1/8/2018,8:00,-0.214,-,-0.174
1/8/2018,9:00,-0.063,-,0.001
1/8/2018,10:00,0.058,-,0.183
1/8/2018,11:00,0.108,-,0.279
1/8/2018,12:00,0.072,-,0.326
1/8/2018,13:00,-0.036,-,0.246
1/8/2018,14:00,-0.182,-,0.138
1/8/2018,15:00,-0.335,-,-0.015
1/8/2018,16:00,-0.468,-,-0.164
1/8/2018,17:00,-0.552,-,-0.254
1/8/2018,18:00,-0.548,-,-0.275
1/8/2018,19:00,-0.448,-,-0.183
1/8/2018,20:00,-0.293,-,-0.021
1/8/2018,21:00,-0.12,-,0.16
1/8/2018,22:00,0.042,-,0.353
1/8/2018,23:00,0.151,-,0.469
1/9/2018,0:00,0.177,-,0.485
1/9/2018,1:00,0.12,-,0.428
1/9/2018,2:00,0.003,-,0.317
1/9/2018,3:00,-0.145,-,0.129
1/9/2018,4:00,-0.299,-,-0.04
1/9/2018,5:00,-0.433,-,-0.176
1/9/2018,6:00,-0.51,-,-0.28
1/9/2018,7:00,-0.502,-,-0.312
1/9/2018,8:00,-0.424,-,-0.233
1/9/2018,9:00,-0.31,-,-0.103
1/9/2018,10:00,-0.18,-,0.026
1/9/2018,11:00,-0.067,-,0.154
1/9/2018,12:00,-0.01,-,0.232
1/9/2018,13:00,-0.019,-,0.249
1/9/2018,14:00,-0.085,-,0.166
1/9/2018,15:00,-0.184,-,0.048
1/9/2018,16:00,-0.291,-,-0.029
1/9/2018,17:00,-0.386,-,-0.162
1/9/2018,18:00,-0.441,-,-0.221
1/9/2018,19:00,-0.423,-,-0.197
1/9/2018,20:00,-0.333,-,-0.097
1/9/2018,21:00,-0.201,-,0.058
1/9/2018,22:00,-0.054,-,0.24
1/9/2018,23:00,0.081,-,0.364
1/10/2018,0:00,0.166,-,0.426
1/10/2018,1:00,0.177,-,0.405
1/10/2018,2:00,0.116,-,0.318
1/10/2018,3:00,0.001,-,0.197
1/10/2018,4:00,-0.145,-,0.026
1/10/2018,5:00,-0.3,-,-0.131
1/10/2018,6:00,-0.442,-,-0.282
1/10/2018,7:00,-0.537,-,-0.41
1/10/2018,8:00,-0.557,-,-0.445
1/10/2018,9:00,-0.51,-,-0.419
1/10/2018,10:00,-0.417,-,-0.299
1/10/2018,11:00,-0.295,-,-0.158
1/10/2018,12:00,-0.174,-,0.005
1/10/2018,13:00,-0.092,-,0.124
1/10/2018,14:00,-0.064,-,0.174
1/10/2018,15:00,-0.089,-,0.17
1/10/2018,16:00,-0.151,-,0.085
1/10/2018,17:00,-0.228,-,-0.028
1/10/2018,18:00,-0.303,-,-0.17
1/10/2018,19:00,-0.35,-,-0.237
1/10/2018,20:00,-0.338,-,-0.244
1/10/2018,21:00,-0.262,-,-0.179
1/10/2018,22:00,-0.147,-,-0.019
1/10/2018,23:00,-0.016,-,0.153
1/11/2018,0:00,0.105,-,0.332
1/11/2018,1:00,0.182,-,0.43
1/11/2018,2:00,0.191,-,0.454
1/11/2018,3:00,0.13,-,0.352
1/11/2018,4:00,0.012,-,0.202
1/11/2018,5:00,-0.14,-,0.022
1/11/2018,6:00,-0.306,-,-0.166
1/11/2018,7:00,-0.47,-,-0.341
1/11/2018,8:00,-0.591,-,-0.46
1/11/2018,9:00,-0.636,-,-0.504
1/11/2018,10:00,-0.608,-,-0.433
1/11/2018,11:00,-0.52,-,-0.302
1/11/2018,12:00,-0.386,-,-0.133
1/11/2018,13:00,-0.239,-,0.04
1/11/2018,14:00,-0.121,-,0.181
1/11/2018,15:00,-0.059,-,0.259
1/11/2018,16:00,-0.056,-,0.252
1/11/2018,17:00,-0.097,-,0.185
1/11/2018,18:00,-0.163,-,0.058
1/11/2018,19:00,-0.24,-,-0.071
