Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
4/1/2019,0:00,-0.138,-,0.084
4/1/2019,1:00,-0.008,-,0.26
4/1/2019,2:00,0.13,-,0.406
4/1/2019,3:00,0.228,-,0.542
4/1/2019,4:00,0.252,-,0.598
4/1/2019,5:00,0.199,-,0.546
4/1/2019,6:00,0.084,-,0.38
4/1/2019,7:00,-0.075,-,0.142
4/1/2019,8:00,-0.262,-,-0.084
4/1/2019,9:00,-0.441,-,-0.288
4/1/2019,10:00,-0.559,-,-0.457
4/1/2019,11:00,-0.587,-,-0.566
4/1/2019,12:00,-0.529,-,-0.52
4/1/2019,13:00,-0.392,-,-0.397
4/1/2019,14:00,-0.196,-,-0.254
4/1/2019,15:00,0.002,-,-0.091
4/1/2019,16:00,0.144,-,0.112
4/1/2019,17:00,0.202,-,0.255
4/1/2019,18:00,0.175,-,0.306
4/1/2019,19:00,0.078,-,0.385
4/1/2019,20:00,-0.066,-,0.214
4/1/2019,21:00,-0.222,-,0.089
4/1/2019,22:00,-0.334,-,-0.048
4/1/2019,23:00,-0.361,-,-0.141
4/2/2019,0:00,-0.302,-,-0.078
4/2/2019,1:00,-0.174,-,0.021
4/2/2019,2:00,-0.001,-,0.203
4/2/2019,3:00,0.17,-,0.39
4/2/2019,4:00,0.28,-,0.518
4/2/2019,5:00,0.301,-,0.577
4/2/2019,6:00,0.232,-,0.525
4/2/2019,7:00,0.09,-,0.385
4/2/2019,8:00,-0.101,-,0.214
4/2/2019,9:00,-0.31,-,0.023
4/2/2019,10:00,-0.491,-,-0.151
4/2/2019,11:00,-0.591,-,-0.26
4/2/2019,12:00,-0.586,-,-0.291
4/2/2019,13:00,-0.484,-,-0.179
4/2/2019,14:00,-0.302,-,-0.025
4/2/2019,15:00,-0.08,-,0.188
4/2/2019,16:00,0.115,-,0.366
4/2/2019,17:00,0.231,-,0.464
4/2/2019,18:00,0.248,-,0.503
4/2/2019,19:00,0.171,-,0.42
4/2/2019,20:00,0.024,-,0.243
4/2/2019,21:00,-0.158,-,0.056
4/2/2019,22:00,-0.332,-,-0.114
4/2/2019,23:00,-0.439,-,-0.233
4/3/2019,0:00,-0.44,-,-0.27
4/3/2019,1:00,-0.34,-,-0.181
4/3/2019,2:00,-0.166,-,-0.017
4/3/2019,3:00,0.045,-,0.21
4/3/2019,4:00,0.23,-,0.407
4/3/2019,5:00,0.334,-,0.532
4/3/2019,6:00,0.332,-,0.508
4/3/2019,7:00,0.23,-,0.378
4/3/2019,8:00,0.054,-,0.172
